Player,Pts
kl rahul,1165
abhishek sharma,1143
vaibhav suryavanshi,1120
heinrich klaasen,1022
virat kohli,921
prabhsimran singh,912
shubman gill,909
jos buttler,883
dhruv jurel,879
ishan kishan,867
devdutt padikkal,834
sanju samson,827
sai sudharsan,801
shreyas iyer,784
priyansh arya,784
ryan rickelton,783
yashasvi jaiswal,728
rajat patidar,706
bhuvneshwar kumar,688
donovan ferreira,662
anshul kamboj,657
cooper connolly,655
nitish kumar reddy,640
jamie overton,618
rinku singh,602
jofra archer,592
travis head,587
ravindra jadeja,547
riyan parag,541
phil salt,539
naman dhir,539
tilak varma,537
ruturaj gaikwad,514
tristan stubbs,497
eshan malinga,496
sunil narine,496
kagiso rabada,492
nitish rana,486
pathum nissanka,482
rishabh pant,477
prince yadav,477
cameron green,477
tim david,461
rashid khan,461
angkrish raghuvanshi,460
ayush mhatre,458
sameer rizvi,452
mitchell marsh,446
mohsin khan,428
sarfaraz khan,416
aiden markram,401
washington sundar,385
noor ahmad,378
quinton de kock,375
mohammed siraj,370
suryakumar yadav,365
mohammed shami,360
krunal pandya,356
mukul choudhary,356
prasidh krishna,342
shivam dube,333
ravi bishnoi,320
rohit sharma,319
josh hazlewood,318
ajinkya rahane,315
ayush badoni,309
hardik pandya,304
kartik tyagi,299
am ghazanfar,298
axar patel,286
marcus stoinis,282
jason holder,281
rovman powell,278
harsh dubey,272
suyash sharma,271
shashank singh,267
sherfane rutherford,266
david miller,263
jitesh sharma,260
akeal hosein,258
dewald brevis,255
aniket verma,240
sakib hussain,237
salil arora,235
varun chakravarthy,234
glenn phillips,233
anukul roy,226
vaibhav arora,225
rasikh salam,219
nandre burger,219
mitchell santner,217
lungi ngidi,217
ramandeep singh,213
brijesh sharma,210
kartik sharma,206
finn allen,199
yuzvendra chahal,193
shivang kumar,192
arshdeep singh,187
marco jansen,185
shimron hetmyer,184
ashwani kumar,178
jasprit bumrah,171
praful hinge,168
romario shepherd,168
xavier bartlett,164
rahul tewatia,161
kuldeep yadav,161
arshad khan,157
ashutosh sharma,152
nehal wadhera,149
jacob duffy,147
avesh khan,144
manimaran siddharth,143
jaydev unadkat,132
nicholas pooran,131
vijaykumar vyshak,129
tushar deshpande,128
shubham dubey,128
gurjapneet singh,126
sandeep sharma,124
digvesh rathi,123
ashok sharma,120
shahrukh khan,120
mukesh kumar,116
will jacks,112
blessing muzarabani,111
mukesh choudhary,110
abdul samad,101
mitchell starc,99
yash raj punja,95
t natarajan,85
venkatesh iyer,81
prashant veer,80
khaleel ahmed,79
urvil patel,78
manav suthar,77
jacob bethell,76
liam livingstone,73
shardul thakur,72
himmat singh,61
tim seifert,58
abhinandan singh,57
vipraj nigam,52
ramakrishna ghosh,48
matthew short,47
pat cummins,44
kumar kushagra,44
abishek porel,37
suryansh shedge,35
corbin bosch,35
raghu sharma,29
harpreet brar,26
kyle jamieson,23
david payne,21
deepak chahar,14
matt henry,12
robin minz,11
trent boult,8
shahbaz ahmed,6
karun nair,6
kulwant khejroliya,0
dasun shanaka,0
spencer johnson,0
saurabh dubey,0
krains fuletra,0
amit kumar,0
shivam mavi,0
jack edwards,0
zeeshan ansari,0
kamindu mendis,0
brydon carse,0
satvik deswal,0
vihaan malhotra,0
kanishk chouhan,0
mangesh yadav,0
vicky ostwal,0
jordan cox,0
yash dayal,0
swapnil singh,0
nuwan thushara,0
ravi singh,0
aman rao,0
yudhvir singh,0
vignesh puthur,0
kuldeep sen,0
sushant mishra,0
adam milne,0
sam curran,0
kwena maphaka,0
harnoor singh,0
praveen dubey,0
vishal nishad,0
ben dwarshuis,0
yash thakur,0
vishnu vinod,0
pyla avinash,0
musheer khan,0
mitchell owen,0
azmatullah omarzai,0
mohammed izhar,0
atharva ankolekar,0
mayank rawat,0
raj bawa,0
akshat raghuwanshi,0
naman tiwari,0
wanindu hasaranga,0
josh inglis,0
matthew breetzke,0
arshin kulkarni,0
arjun tendulkar,0
akash singh,0
sarthak ranjan,0
daksh kamra,0
tejas singh,0
prashant solanki,0
rahul tripathi,0
akash deep,0
rachin ravindra,0
mustafizur rahman,0
matheesha pathirana,0
umran malik,0
manish pandey,0
harshit rana,0
prithvi raj,0
sai kishore,0
gurnoor brar,0
luke wood,0
tom banton,0
nishant sindhu,0
jayant yadav,0
ishant sharma,0
anuj rawat,0
prithvi shaw,0
ben duckett,0
tripurana vijay,0
madhav tiwari,0
ajay mandal,0
zakary foulkes,0
aman hakim khan,0
shreyas gopal,0
nathan ellis,0
ms dhoni,0
dushmantha chameera,-1
rahul chahar,-4
navdeep saini,-13
danish malewar,-19
lhuan-dre pretorius,-21
sahil parakh,-21
mayank yadav,-23
anrich nortje,-26
lockie ferguson,-33
mayank markande,-39
auqib nabi,-42
harshal patel,-43
