POS,Player,Pts,Mat,Wkts,Dots,4s,6s,Catches,Run outs,Stumpings,Team
1,abhishek sharma,236.5,9,0,2,40,31,4,0.0,0,SRH
2,vaibhav sooryavanshi,227.5,9,0,0,34,37,0,0.0,0,RR
3,jofra archer,218.5,9,14,98,1,0,4,1.0,0,RR
4,kagiso rabada,201.0,8,13,79,3,2,3,0.0,0,GT
5,anshul kamboj,196.0,8,14,75,2,2,2,0.0,0,CSK
6,eshan malinga,191.0,9,15,67,0,0,1,1.5,0,SRH
7,bhuvneshwar kumar,187.0,8,14,72,1,0,1,0.0,0,RCB
8,prabhsimran singh,180.0,8,0,0,37,17,5,0.5,0,PBKS
9,k l rahul,178.0,8,0,0,36,19,2,0.5,0,DC
10,heinrich klaasen,177.5,9,0,0,32,18,9,0.0,0,SRH
11,nitish kumar reddy,176.5,9,6,35,12,14,7,0.0,0,SRH
12,prince yadav,176.0,7,13,77,0,0,2,0.0,0,LSG
13,ishan kishan,174.5,9,0,0,35,16,5,1.0,1,SRH
14,sai sudharsan,162.0,8,0,0,32,17,1,1.0,0,GT
15,jamie overton,162.0,7,9,37,13,6,1,0.0,0,CSK
16,virat kohli,160.5,8,0,0,37,14,4,0.0,0,RCB
17,sanju samson,159.0,8,0,0,33,15,3,0.0,1,CSK
18,mohammad shami,158.5,8,7,89,2,3,2,0.0,0,LSG
19,jos buttler,157.5,8,0,0,31,11,10,1.5,0,GT
20,dhruv jurel,152.0,9,0,0,25,10,13,1.5,1,RR
21,priyansh arya,149.5,7,0,0,21,26,0,0.0,0,PBKS
22,yashasvi jaiswal,149.5,9,0,0,36,13,2,0.0,0,RR
23,mohammed siraj,149.5,8,8,86,0,0,3,0.0,0,GT
24,prasidh krishna,149.0,7,12,53,0,0,1,0.5,0,GT
25,shubman gill,148.0,7,0,0,30,14,6,0.0,0,GT
26,shreyas iyer,144.0,8,0,0,18,22,4,0.0,0,PBKS
27,nandre burger,143.5,9,9,78,0,0,1,0.0,0,RR
28,devdutt padikkal,142.5,8,0,0,22,16,9,0.0,0,RCB
29,kartik tyagi,141.5,8,9,62,1,1,3,0.0,0,KKR
30,sunil narine,141.0,7,7,68,2,4,2,0.0,0,KKR
31,cooper connolly,134.0,8,0,0,24,18,2,0.0,0,PBKS
32,ravi bishnoi,132.5,8,11,40,0,0,5,0.0,0,RR
33,ryan rickelton,130.0,6,0,0,19,20,1,0.0,0,MI
34,mohsin khan,127.0,4,9,49,0,0,2,0.0,0,LSG
35,vaibhav arora,127.0,8,9,58,0,0,1,0.5,0,KKR
36,arshdeep singh,126.5,8,8,60,0,0,3,0.0,0,PBKS
37,rajat patidar,126.5,8,0,0,12,23,4,0.0,0,RCB
38,rashid khan,125.0,8,8,56,3,0,1,0.0,0,GT
39,krunal pandya,125.0,8,9,45,3,2,1,0.0,0,RCB
40,travis head,124.0,9,0,0,26,16,0,0.0,0,SRH
41,josh hazlewood,121.5,5,8,55,0,0,3,0.0,0,RCB
42,cameron green,120.0,8,2,18,16,10,4,0.0,0,KKR
43,ravindra jadeja,117.0,9,6,38,11,1,1,0.5,0,RR
44,noor ahmad,115.5,8,7,50,0,1,4,0.0,0,CSK
45,hardik pandya,115.0,7,4,33,14,4,2,0.0,0,MI
46,am ghazanfar,110.0,6,10,40,0,0,0,0.0,0,MI
47,harsh dubey,109.5,7,8,38,2,0,3,0.0,0,SRH
48,donovan ferreira,109.0,8,1,1,18,10,6,0.0,0,RR
49,nitish rana,108.0,6,0,7,21,8,3,1.0,0,DC
50,rinku singh,106.5,8,0,0,20,8,9,0.0,0,KKR
51,tilak varma,105.0,8,0,0,21,8,7,0.0,0,MI
52,aiden markram,103.0,8,0,8,19,10,5,0.0,0,LSG
53,lungisani ngidi,102.5,6,7,47,0,0,0,0.5,0,DC
54,mukesh kumar,102.5,7,5,53,0,0,3,1.0,0,DC
55,phil salt,99.5,6,0,0,16,11,6,0.0,0,RCB
56,rishabh pant,99.5,8,0,0,18,6,8,1.5,0,LSG
57,sakib hussain,98.5,5,8,37,0,0,1,0.0,0,SRH
58,suyash sharma,98.0,7,6,56,0,0,0,0.0,0,RCB
59,ayush mhatre,98.0,6,0,0,20,12,0,0.0,0,CSK
60,ashok sharma,97.5,6,6,53,0,0,1,0.0,0,GT
61,varun chakaravarthy,97.0,6,7,40,0,0,2,0.0,0,KKR
