Player,Pts
devdutt padikkal,42.0
ryan rickelton,41.0
ishan kishan,40.5
rohit sharma,39.0
prasidh krishna,37.5
jacob duffy,37.0
cooper connolly,35.5
virat kohli,35.5
lungi ngidi,33.0
vyshak vijaykumar,32.0
t natarajan,32.0
shardul thakur,31.0
jofra archer,31.0
vaibhav sooryavanshi,30.5
sameer rizvi,29.5
romario shepherd,29.0
nandre burger,28.0
ajinkya rahane,28.0
kuldeep yadav,27.0
angkrish raghuvanshi,25.0
ravindra jadeja,25.0
mohsin khan,24.5
anshul kamboj,24.5
prince yadav,24.0
hardik pandya,24.0
yuzvendra chahal,23.0
finn allen,22.0
aniket verma,21.5
marco jansen,21.0
washington sundar,20.5
mukesh kumar,20.5
shubman gill,20.0
ravi bishnoi,20.0
rashid khan,19.5
david payne,19.0
mohammed shami,19.0
dhruv jurel,18.5
ashok sharma,17.5
brijesh sharma,17.0
jos buttler,17.0
prabhsimran singh,16.5
abhinandan singh,16.5
axar patel,16.0
kartik tyagi,16.0
tristan stubbs,16.0
bhuvneshwar kumar,16.0
mitchell marsh,15.5
rajat patidar,15.5
jaydev unadkat,15.5
xavier bartlett,15.0
vaibhav arora,15.0
n tilak varma,15.0
arshdeep singh,14.0
kagiso rabada,14.0
heinrich klaasen,13.5
abdul samad,13.5
yashasvi jaiswal,13.5
harsh dubey,13.5
suyash sharma,13.0
jamie overton,13.0
sunil narine,13.0
phil salt,12.5
rinku singh,12.5
sarfaraz khan,11.0
anukul roy,10.5
sandeep sharma,10.0
khaleel ahmed,10.0
shreyas iyer,9.5
nitish rana,8.5
aiden markram,8.0
surya kumar yadav,7.5
anrich nortje,7.0
trent boult,7.0
riyan parag,6.0
tim david,6.0
glenn phillips,6.0
cameron green,6.0
allah ghazanfar,6.0
blessing muzarabani,6.0
mohammed siraj,6.0
rishabh pant,5.0
m choudhary,5.0
varun chakaravarthy,5.0
sai sudharsan,5.0
nitish kumar reddy,5.0
travis head,5.0
matt henry,4.5
noor ahmad,4.0
jasprit bumrah,4.0
salil arora,3.5
abhishek sharma,3.5
kartik sharma,3.5
shimron hetmyer,3.5
shivam dube,3.5
priyansh arya,3.5
eshan malinga,3.0
harshal patel,3.0
ruturaj gaikwad,2.5
sherfane rutherford,2.5
shahbaz ahamad,2.5
naman dhir,2.5
nicholas pooran,2.5
rahul tewatia,2.5
david miller,2.5
jitesh sharma,2.5
sanju samson,2.5
k l rahul,2.5
vipraj nigam,2.0
mayank markande,1.0
krunal pandya,1.0
