Teams,M,W,L,T,N/R,PTS,NRR,Series Form,Next,For,Against
Punjab Kings,6,5,0,0,1,11,1.420,WNRWWW,"vs DC, RR, GT",1050/93.1,985/100.0
Rajasthan Royals,7,5,2,0,0,10,0.790,WWLLW,"vs SRH, PBKS, DC",1163/121.1,1151/130.4
Royal Challengers Bengaluru,6,4,2,0,0,8,1.171,WLWWL,"vs GT, DC, GT",1218/110.5,1157/117.5
Sunrisers Hyderabad,7,4,3,0,0,8,0.820,LLWWW,"vs RR, MI, KKR",1454/140.0,1285/134.2
Delhi Capitals,6,3,3,0,0,6,-0.130,WLLWL,"vs PBKS, RCB, RR",1081/115.1,1142/120.0
Gujarat Titans,6,3,3,0,0,6,-0.821,LWWWL,"vs RCB, CSK, RCB",1022/118.2,1127/119.1
Mumbai Indians,6,2,4,0,0,4,0.067,LLLLW,"vs CSK, SRH, CSK",1125/110.1,1072/105.4
Chennai Super Kings,6,2,4,0,0,4,-0.780,LLWWL,"vs MI, GT, MI",1131/120.0,1131/110.5
Lucknow Super Giants,7,2,5,0,0,4,-1.277,WLLLL,"vs KKR, MI, RCB",1112/139.5,1209/131.0
Kolkata Knight Riders,7,1,5,0,1,3,-0.879,NRLLLW,"vs LSG, SRH, DC",1063/119.4,1160/118.5
