AkshayM,ColdTaker,Naren,Neela,mahaarajan13,priyanka.suresh,shashaank,sk,sriram,suddu
Lucknow Super Giants,Chennai Super Kings,Kolkata Knight Riders,Delhi Capitals,Punjab Kings,Rajasthan Royals,Sunrisers Hyderabad,Gujarat Titans,Mumbai Indians,Royal Challengers Bengaluru
nicholas pooran,sanju samson,sunil narine,kl rahul,shreyas iyer,yashasvi jaiswal,travis head,sai sudharsan,jasprit bumrah,virat kohli
rishabh pant,dewald brevis,varun chakravarthy,axar patel,marco jansen,jofra archer,abhishek sharma,shubman gill,suryakumar yadav,rajat patidar
aiden markram,sherfane rutherford,marcus stoinis,tristan stubbs,arshdeep singh,riyan parag,ishan kishan,matt henry,quinton de kock,noor ahmad
sameer rizvi,yuzvendra chahal,nitish rana,prabhsimran singh,krunal pandya,avesh khan,digvesh rathi,glenn phillips,tushar deshpande,ravi bishnoi
washington sundar,donovan ferreira,shashank singh,nehal wadhera,ayush mhatre,vaibhav suryavanshi,will jacks,tilak varma,naman dhir,rahul chahar
lungi ngidi,liam livingstone,ajinkya rahane,angkrish raghuvanshi,jitesh sharma,prasidh krishna,harpreet brar,mitchell santner,cameron green,jason holder
mohammed shami,ramandeep singh,tim seifert,mohammed siraj,brydon carse,rashid khan,dhruv jurel,deepak chahar,shahbaz ahmed,ravindra jadeja
nitish kumar reddy,prashant veer,heinrich klaasen,priyansh arya,mohsin khan,ashutosh sharma,romario shepherd,david miller,ashwani kumar,ms dhoni
phil salt,prithvi shaw,finn allen,ruturaj gaikwad,sai kishore,abishek porel,rahul tewatia,josh hazlewood,shimron hetmyer,jacob bethell
jaydev unadkat,sandeep sharma,khaleel ahmed,bhuvneshwar kumar,urvil patel,abdul samad,ayush badoni,harshal patel,vipraj nigam,suyash sharma
rovman powell,kartik sharma,mukesh kumar,trent boult,shahrukh khan,kuldeep yadav,shardul thakur,venkatesh iyer,mitchell marsh,rinku singh
devdutt padikkal,kagiso rabada,auqib nabi,mangesh yadav,mayank markande,shivam dube,zeeshan ansari,vishnu vinod,pathum nissanka,jos buttler
mukesh choudhary,rohit sharma,mayank yadav,azmatullah omarzai,tim david,jamie overton,hardik pandya,t natarajan,vaibhav arora,anukul roy
