ColdTaker,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27
chennai super kings,,,,,,,,,,,,,,,,,,,,,,,,,,,
sanju samson,0.0,0.0,7.0,7.0,7.0,7.0,15.0,15.0,35.0,35.0,35.0,35.0,35.0,35.0,345.0,345.0,345.0,443.0,443.0,443.0,443.0,476.0,476.0,476.0,476.0,476.0,779.0
dewald brevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,140.0,140.0,140.0,140.0,148.0,148.0,148.0,148.0,148.0,211.0
sherfane rutherford,0.0,15.0,15.0,15.0,15.0,15.0,15.0,20.0,20.0,20.0,92.0,92.0,92.0,92.0,92.0,286.0,286.0,286.0,286.0,285.0,285.0,285.0,285.0,286.0,286.0,286.0,266.0
yuzvendra chahal,0.0,0.0,0.0,74.0,74.0,74.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,114.0,114.0,114.0,114.0,114.0,97.0,97.0,97.0,118.0,118.0,118.0,118.0,118.0
donovan ferreira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,180.0,180.0,180.0,180.0,180.0,180.0,205.0,205.0,205.0,244.0,244.0
liam livingstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,73.0,73.0,73.0,73.0,73.0,73.0
ramandeep singh,0.0,4.0,4.0,4.0,4.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,47.0,47.0,47.0,47.0,47.0,133.0,133.0,133.0,200.0,200.0,209.0,209.0,209.0,209.0,209.0
prashant veer,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
prithvi shaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sandeep sharma,0.0,0.0,28.0,28.0,28.0,28.0,28.0,33.0,33.0,33.0,106.0,106.0,106.0,114.0,114.0,114.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
kartik sharma,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,66.0
kagiso rabada,0.0,0.0,0.0,12.0,12.0,12.0,12.0,101.0,101.0,101.0,101.0,110.0,110.0,110.0,110.0,108.0,108.0,108.0,108.0,108.0,231.0,231.0,231.0,371.0,371.0,371.0,371.0
rohit sharma,0.0,212.0,212.0,212.0,212.0,212.0,212.0,278.0,278.0,278.0,283.0,283.0,283.0,283.0,283.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0
