Neela,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32
delhi capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kl rahul,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,220.0,220.0,220.0,259.0,259.0,259.0,259.0,259.0,259.0,259.0,419.0,419.0,419.0,499.0,499.0,499.0,499.0,969.0,969.0,969.0,969.0
axar patel,0.0,0.0,0.0,0.0,30.0,30.0,30.0,102.0,102.0,102.0,102.0,94.0,94.0,94.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,240.0,240.0,240.0,257.0,257.0,257.0,257.0,266.0,254.0,254.0,254.0
tristan stubbs,0.0,0.0,0.0,0.0,94.0,94.0,94.0,112.0,112.0,112.0,112.0,121.0,121.0,121.0,253.0,253.0,253.0,253.0,253.0,253.0,253.0,376.0,376.0,376.0,436.0,436.0,436.0,436.0,436.0,446.0,446.0,446.0
prabhsimran singh,0.0,0.0,0.0,81.0,81.0,81.0,171.0,171.0,171.0,201.0,201.0,201.0,201.0,201.0,350.0,350.0,350.0,350.0,350.0,559.0,559.0,559.0,554.0,554.0,554.0,554.0,554.0,554.0,799.0,799.0,799.0,912.0
nehal wadhera,0.0,0.0,0.0,2.0,2.0,2.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,93.0,93.0,93.0,93.0,93.0,93.0,149.0,149.0,149.0,149.0
angkrish raghuvanshi,0.0,122.0,122.0,122.0,122.0,247.0,247.0,247.0,247.0,254.0,254.0,254.0,354.0,354.0,354.0,354.0,354.0,408.0,408.0,408.0,426.0,426.0,448.0,448.0,448.0,448.0,448.0,448.0,448.0,460.0,460.0,460.0
mohammed siraj,0.0,0.0,0.0,8.0,8.0,8.0,8.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,101.0,101.0,101.0,101.0,101.0,221.0,221.0,221.0,254.0,254.0,254.0,254.0,286.0,286.0,346.0,346.0,346.0
priyansh arya,0.0,0.0,0.0,10.0,10.0,10.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,125.0,291.0,291.0,291.0,291.0,291.0,323.0,323.0,323.0,589.0,589.0,589.0,589.0,589.0,589.0,706.0,706.0,706.0,784.0
ruturaj gaikwad,0.0,0.0,5.0,5.0,5.0,5.0,67.0,67.0,85.0,85.0,85.0,85.0,85.0,85.0,100.0,100.0,100.0,125.0,125.0,125.0,125.0,189.0,189.0,189.0,189.0,189.0,233.0,233.0,233.0,368.0,368.0,368.0
bhuvneshwar kumar,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,122.0,122.0,122.0,122.0,122.0,135.0,135.0,145.0,145.0,145.0,256.0,256.0,256.0,375.0,375.0,375.0,375.0,375.0,375.0,412.0,412.0,560.0,560.0,560.0
trent boult,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-26.0,-26.0,-26.0,-26.0,-26.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0,-27.0
mangesh yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
azmatullah omarzai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
