priyanka.suresh,0.0,0.0,0.0,526.0,704.0,878.0,878.0,972.0,1401.0,1630.0,1630.0,2177.0,2357.0,2371.0,2791.0
AkshayM,0.0,307.0,307.0,307.0,373.0,717.0,1005.0,1005.0,1256.0,2144.0,2144.0,2144.0,2303.0,2622.0,2633.0
suddu,0.0,391.0,494.0,640.0,717.0,717.0,823.0,830.0,1056.0,1452.0,1452.0,1512.0,1677.0,1771.0,2123.0
shashaank,0.0,304.0,447.0,532.0,546.0,525.0,895.0,895.0,1136.0,1167.0,1167.0,1224.0,1240.0,1430.0,1695.0
Neela,0.0,39.0,157.0,162.0,263.0,482.0,607.0,919.0,1133.0,1234.0,1271.0,1249.0,1475.0,1575.0,1588.0
sk,0.0,-45.0,21.0,3.0,176.0,298.0,298.0,341.0,708.0,731.0,731.0,775.0,1243.0,1243.0,1369.0
Naren,0.0,89.0,335.0,362.0,345.0,404.0,637.0,675.0,760.0,889.0,959.0,959.0,1018.0,1205.0,1205.0
mahaarajan13,0.0,11.0,-1.0,-21.0,246.0,325.0,325.0,724.0,762.0,1041.0,1095.0,1095.0,1095.0,1095.0,1205.0
sriram,0.0,0.0,184.0,199.0,199.0,272.0,327.0,327.0,764.0,784.0,793.0,897.0,988.0,1132.0,1157.0
ColdTaker,0.0,0.0,231.0,293.0,379.0,379.0,407.0,475.0,640.0,804.0,804.0,954.0,963.0,978.0,1001.0
