mahaarajan13,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57
punjab kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shreyas iyer,0.0,0.0,0.0,53.0,53.0,53.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,349.0,349.0,349.0,349.0,349.0,509.0,509.0,509.0,529.0,529.0,529.0,529.0,529.0,529.0,724.0,724.0,724.0,784.0,784.0,784.0,784.0,784.0,820.0,820.0,820.0,841.0,841.0,841.0,841.0,841.0,975.0,975.0,975.0,984.0,984.0,984.0,999.0,999.0,999.0,999.0,999.0,999.0,1291.0
marco jansen,0.0,0.0,0.0,91.0,91.0,91.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,113.0,113.0,113.0,113.0,113.0,150.0,150.0,150.0,202.0,202.0,202.0,202.0,202.0,202.0,190.0,190.0,190.0,185.0,185.0,185.0,185.0,185.0,259.0,259.0,259.0,275.0,275.0,275.0,275.0,275.0,276.0,276.0,276.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,269.0,346.0
arshdeep singh,0.0,0.0,0.0,20.0,20.0,20.0,14.0,14.0,14.0,18.0,18.0,18.0,18.0,18.0,63.0,63.0,63.0,63.0,63.0,190.0,190.0,190.0,209.0,209.0,209.0,209.0,209.0,209.0,212.0,212.0,212.0,187.0,187.0,187.0,187.0,187.0,275.0,275.0,275.0,287.0,287.0,287.0,287.0,287.0,382.0,382.0,382.0,414.0,414.0,414.0,425.0,425.0,425.0,425.0,425.0,425.0,387.0
krunal pandya,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,-16.0,26.0,26.0,26.0,26.0,26.0,109.0,109.0,158.0,158.0,158.0,208.0,208.0,208.0,280.0,280.0,280.0,280.0,280.0,280.0,304.0,304.0,351.0,351.0,351.0,351.0,356.0,356.0,356.0,356.0,356.0,356.0,356.0,474.0,474.0,474.0,634.0,634.0,634.0,625.0,625.0,625.0,625.0,622.0,622.0,622.0,622.0,622.0,707.0,707.0
ayush mhatre,0.0,0.0,-20.0,-20.0,-20.0,-20.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0,284.0,284.0,284.0,381.0,381.0,381.0,381.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0,458.0
jitesh sharma,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,30.0,30.0,30.0,30.0,30.0,49.0,49.0,62.0,62.0,62.0,136.0,136.0,136.0,163.0,163.0,163.0,163.0,163.0,163.0,185.0,185.0,245.0,245.0,245.0,245.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,312.0,312.0,312.0,342.0,342.0,342.0,342.0,357.0,357.0,357.0,357.0,357.0,357.0,357.0
brydon carse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mohsin khan,0.0,0.0,0.0,0.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,92.0,92.0,92.0,204.0,204.0,204.0,204.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,428.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,435.0,473.0,473.0,473.0,473.0,453.0
sai kishore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
