priyanka.suresh,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26
rajasthan royals,,,,,,,,,,,,,,,,,,,,,,,,,,
yashasvi jaiswal,0.0,0.0,68.0,68.0,68.0,68.0,68.0,191.0,191.0,191.0,425.0,425.0,425.0,454.0,454.0,454.0,453.0,453.0,453.0,453.0,453.0,453.0,527.0,527.0,527.0,573.0
jofra archer,0.0,0.0,102.0,102.0,102.0,102.0,102.0,131.0,131.0,131.0,187.0,187.0,187.0,235.0,235.0,235.0,292.0,292.0,292.0,292.0,292.0,292.0,334.0,334.0,334.0,483.0
riyan parag,0.0,0.0,24.0,24.0,24.0,24.0,24.0,65.0,65.0,65.0,112.0,112.0,112.0,114.0,114.0,114.0,167.0,167.0,167.0,167.0,167.0,167.0,177.0,177.0,177.0,234.0
avesh khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,55.0,55.0,68.0,68.0,68.0,86.0,86.0,86.0,174.0,174.0,174.0,174.0,144.0,144.0,144.0,144.0
vaibhav suryavanshi,0.0,0.0,156.0,156.0,156.0,156.0,156.0,226.0,226.0,226.0,336.0,336.0,336.0,577.0,577.0,577.0,557.0,557.0,557.0,557.0,557.0,557.0,656.0,656.0,656.0,665.0
prasidh krishna,0.0,0.0,0.0,121.0,121.0,121.0,121.0,133.0,133.0,133.0,133.0,164.0,164.0,164.0,164.0,318.0,318.0,318.0,318.0,318.0,367.0,367.0,367.0,363.0,363.0,363.0
rashid khan,0.0,0.0,0.0,57.0,57.0,57.0,57.0,119.0,119.0,119.0,119.0,256.0,256.0,256.0,256.0,281.0,281.0,281.0,281.0,281.0,295.0,295.0,295.0,309.0,309.0,309.0
ashutosh sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,68.0,68.0
abishek porel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abdul samad,0.0,0.0,0.0,0.0,77.0,77.0,77.0,77.0,103.0,103.0,103.0,103.0,104.0,104.0,104.0,122.0,122.0,122.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0
kuldeep yadav,0.0,0.0,0.0,0.0,97.0,97.0,97.0,89.0,89.0,89.0,89.0,101.0,101.0,101.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,154.0,154.0,154.0,136.0,136.0
shivam dube,0.0,0.0,13.0,13.0,13.0,13.0,107.0,107.0,160.0,160.0,160.0,160.0,160.0,160.0,205.0,205.0,205.0,251.0,251.0,251.0,251.0,286.0,286.0,286.0,286.0,286.0
jamie overton,0.0,0.0,63.0,63.0,63.0,63.0,63.0,63.0,158.0,158.0,158.0,158.0,158.0,158.0,347.0,347.0,347.0,348.0,348.0,348.0,348.0,456.0,456.0,456.0,456.0,456.0
