shashaank,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63,day_64,day_65
sunrisers hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travis head,17.0,17.0,17.0,17.0,17.0,133.0,133.0,133.0,141.0,141.0,141.0,141.0,141.0,141.0,222.0,222.0,243.0,243.0,243.0,243.0,243.0,278.0,278.0,278.0,350.0,350.0,350.0,350.0,361.0,361.0,361.0,361.0,587.0,587.0,587.0,587.0,747.0,747.0,747.0,840.0,840.0,840.0,840.0,840.0,840.0,818.0,818.0,818.0,818.0,818.0,818.0,825.0,825.0,825.0,825.0,911.0,911.0,911.0,911.0,911.0,951.0,951.0,951.0,951.0,951.0
abhishek sharma,10.0,10.0,10.0,10.0,10.0,122.0,122.0,122.0,101.0,101.0,101.0,101.0,101.0,101.0,312.0,312.0,307.0,307.0,307.0,307.0,307.0,467.0,467.0,467.0,881.0,881.0,881.0,881.0,1023.0,1023.0,1023.0,1023.0,1143.0,1143.0,1143.0,1143.0,1182.0,1182.0,1182.0,1295.0,1295.0,1295.0,1295.0,1295.0,1295.0,1308.0,1308.0,1308.0,1308.0,1308.0,1308.0,1355.0,1355.0,1355.0,1355.0,1543.0,1543.0,1543.0,1543.0,1543.0,1567.0,1567.0,1567.0,1567.0,1567.0
ishan kishan,217.0,217.0,217.0,217.0,217.0,259.0,259.0,274.0,309.0,309.0,309.0,309.0,309.0,309.0,367.0,367.0,638.0,638.0,638.0,638.0,638.0,618.0,618.0,618.0,677.0,677.0,677.0,677.0,872.0,872.0,872.0,872.0,867.0,867.0,867.0,867.0,950.0,950.0,950.0,1095.0,1095.0,1095.0,1095.0,1095.0,1095.0,1148.0,1148.0,1148.0,1148.0,1148.0,1148.0,1310.0,1310.0,1310.0,1310.0,1502.0,1502.0,1502.0,1502.0,1502.0,1626.0,1626.0,1626.0,1626.0,1626.0
digvesh rathi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,75.0,75.0,75.0,112.0,112.0,112.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,141.0,141.0,141.0,141.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,123.0,114.0,114.0,114.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,148.0,148.0,148.0,148.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0
will jacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,113.0,113.0,112.0,112.0,134.0,134.0,134.0,134.0,134.0,134.0,156.0,156.0,156.0,156.0,240.0,240.0,240.0,240.0,240.0,240.0,275.0,275.0,275.0,275.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0,391.0
harpreet brar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
dhruv jurel,0.0,0.0,85.0,85.0,85.0,85.0,85.0,306.0,306.0,306.0,338.0,338.0,338.0,557.0,557.0,557.0,566.0,566.0,566.0,566.0,566.0,566.0,605.0,605.0,605.0,630.0,630.0,630.0,754.0,754.0,754.0,786.0,786.0,786.0,879.0,879.0,879.0,879.0,879.0,879.0,879.0,879.0,941.0,941.0,941.0,941.0,941.0,941.0,941.0,941.0,1061.0,1061.0,1186.0,1186.0,1186.0,1186.0,1186.0,1292.0,1292.0,1292.0,1444.0,1444.0,1454.0,1454.0,1454.0
romario shepherd,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,43.0,43.0,43.0,43.0,43.0,89.0,89.0,76.0,76.0,76.0,106.0,106.0,106.0,91.0,91.0,91.0,91.0,91.0,91.0,78.0,78.0,73.0,73.0,73.0,73.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,203.0,203.0,203.0,251.0,251.0,251.0,251.0,251.0,251.0,251.0,294.0,294.0,294.0,294.0,294.0,276.0,276.0,276.0,276.0,267.0,267.0,267.0,267.0,267.0,282.0
rahul tewatia,0.0,0.0,0.0,14.0,14.0,14.0,14.0,42.0,42.0,42.0,42.0,58.0,58.0,58.0,58.0,88.0,88.0,88.0,88.0,88.0,97.0,97.0,97.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,201.0,201.0,201.0,212.0,212.0,212.0,212.0,213.0,213.0,213.0,213.0,213.0,193.0,193.0,193.0,193.0,193.0,346.0,346.0,346.0,384.0,384.0,396.0
ayush badoni,0.0,0.0,0.0,0.0,-21.0,-21.0,-21.0,-21.0,-2.0,-2.0,-2.0,-2.0,120.0,120.0,120.0,129.0,129.0,129.0,207.0,207.0,207.0,207.0,274.0,274.0,274.0,254.0,254.0,254.0,254.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,309.0,304.0,304.0,304.0,304.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0,416.0
shardul thakur,0.0,86.0,86.0,86.0,86.0,86.0,86.0,63.0,63.0,63.0,70.0,70.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
zeeshan ansari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hardik pandya,0.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,75.0,75.0,75.0,75.0,75.0,199.0,199.0,199.0,199.0,200.0,200.0,200.0,200.0,228.0,228.0,228.0,199.0,199.0,199.0,199.0,199.0,199.0,287.0,287.0,287.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,304.0,354.0,354.0,354.0,354.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
