sk,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45
gujarat titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sai sudharsan,0.0,0.0,0.0,19.0,19.0,19.0,19.0,183.0,183.0,183.0,183.0,237.0,237.0,237.0,237.0,257.0,257.0,257.0,257.0,257.0,298.0,298.0,298.0,278.0,278.0,278.0,278.0,538.0,538.0,762.0,762.0,762.0,762.0,801.0,801.0,801.0,913.0,913.0,913.0,913.0,913.0,913.0,1033.0,1033.0,1033.0
shubman gill,0.0,0.0,0.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,273.0,273.0,273.0,273.0,415.0,415.0,415.0,415.0,415.0,623.0,623.0,623.0,642.0,642.0,642.0,642.0,700.0,700.0,783.0,783.0,783.0,783.0,909.0,909.0,909.0,932.0,932.0,932.0,932.0,932.0,932.0,1159.0,1159.0,1159.0
matt henry,0.0,0.0,-18.0,-18.0,-18.0,-18.0,25.0,25.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
glenn phillips,0.0,0.0,0.0,50.0,50.0,50.0,50.0,83.0,83.0,83.0,83.0,126.0,126.0,126.0,126.0,156.0,156.0,156.0,156.0,156.0,213.0,213.0,213.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0,233.0
tilak varma,0.0,66.0,66.0,66.0,66.0,66.0,66.0,60.0,60.0,60.0,114.0,114.0,114.0,114.0,114.0,129.0,129.0,129.0,129.0,149.0,149.0,149.0,149.0,441.0,441.0,441.0,519.0,519.0,519.0,519.0,519.0,519.0,533.0,533.0,533.0,537.0,537.0,547.0,547.0,547.0,547.0,547.0,547.0,703.0,703.0
mitchell santner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,193.0,193.0,193.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0
deepak chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,44.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0
david miller,0.0,0.0,0.0,0.0,15.0,15.0,15.0,46.0,46.0,46.0,46.0,146.0,146.0,146.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,256.0,256.0,256.0,236.0,236.0,236.0,236.0,239.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,263.0,405.0
josh hazlewood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,57.0,57.0,57.0,124.0,124.0,124.0,120.0,120.0,120.0,120.0,120.0,120.0,171.0,171.0,353.0,353.0,353.0,353.0,318.0,318.0,318.0,318.0,318.0,318.0,318.0,322.0,322.0,322.0,356.0,356.0
harshal patel,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-45.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0,-33.0
venkatesh iyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0
vishnu vinod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t natarajan,0.0,0.0,0.0,0.0,107.0,107.0,107.0,139.0,139.0,139.0,139.0,141.0,141.0,141.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,131.0,131.0,131.0,121.0,121.0,121.0,121.0,87.0,90.0,90.0,90.0,90.0,90.0,85.0,85.0,85.0,85.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
