Player,Team,Category,Base Price,Sold Price,Winner,Sold Time,Nationality
Nicholas Pooran,Lucknow Super Giants,Wicketkeeper,1,18,AkshayM,2026-03-21 02:09:03,F
Rishabh Pant,Lucknow Super Giants,Wicketkeeper,1,16,AkshayM,2026-03-21 02:09:11,I
Aiden Markram,Lucknow Super Giants,Batsman,1,12,AkshayM,2026-03-21 02:09:20,F
KL Rahul,Delhi Capitals,Wicketkeeper,1,18,Neela,2026-03-21 02:09:50,I
Axar Patel,Delhi Capitals,All-Rounder,1,16,Neela,2026-03-21 02:10:04,I
Tristan Stubbs,Delhi Capitals,Batsman,1,12,Neela,2026-03-21 02:10:17,F
Travis Head,Sunrisers Hyderabad,Batsman,1,18,shashaank,2026-03-21 02:11:01,F
Abhishek Sharma,Sunrisers Hyderabad,Batsman,1,16,shashaank,2026-03-21 02:13:32,I
Ishan Kishan,Sunrisers Hyderabad,Wicketkeeper,1,12,shashaank,2026-03-21 02:13:43,I
Jasprit Bumrah,Mumbai Indians,Bowler,1,18,sriram,2026-03-21 02:14:14,I
Suryakumar Yadav,Mumbai Indians,Batsman,1,16,sriram,2026-03-21 02:14:27,I
Quinton de Kock,Mumbai Indians,Wicketkeeper,1,12,sriram,2026-03-21 02:14:40,F
Virat Kohli,Royal Challengers Bengaluru,Batsman,1,18,suddu,2026-03-21 02:14:53,I
Sai Sudharsan,Gujarat Titans,Batsman,1,18,sk,2026-03-21 02:15:01,I
Shubman Gill,Gujarat Titans,Batsman,1,16,sk,2026-03-21 02:15:16,I
Shreyas Iyer,Punjab Kings,Batsman,1,18,mahaarajan13,2026-03-21 02:16:09,I
Marco Jansen,Punjab Kings,All-Rounder,1,16,mahaarajan13,2026-03-21 02:16:26,F
Sanju Samson,Chennai Super Kings,Wicketkeeper,1,18,ColdTaker,2026-03-21 02:17:05,I
Dewald Brevis,Chennai Super Kings,Batsman,1,16,ColdTaker,2026-03-21 02:17:51,F
Yashasvi Jaiswal,Rajasthan Royals,Batsman,1,18,priyanka.suresh,2026-03-21 02:18:11,I
Jofra Archer,Rajasthan Royals,Bowler,1,16,priyanka.suresh,2026-03-21 02:18:29,F
Riyan Parag,Rajasthan Royals,All-Rounder,1,12,priyanka.suresh,2026-03-21 02:18:38,I
Arshdeep Singh,Punjab Kings,Bowler,1,12,mahaarajan13,2026-03-21 02:18:49,I
Sunil Narine,Kolkata Knight Riders,All-Rounder,1,18,Naren,2026-03-21 02:19:33,F
Varun Chakravarthy,Kolkata Knight Riders,Bowler,1,16,Naren,2026-03-21 02:20:07,I
Rajat Patidar,Royal Challengers Bengaluru,Batsman,1,11.0,suddu,2026-03-21 02:25:13,I
Digvesh Rathi,Lucknow Super Giants,Bowler,0.5,7.5,shashaank,2026-03-21 02:27:52,I
Prabhsimran Singh,Punjab Kings,Wicketkeeper,0.5,11.0,Neela,2026-03-21 02:30:31,I
Will Jacks,Mumbai Indians,All-Rounder,1,11.0,shashaank,2026-03-21 02:32:09,F
Avesh Khan,Lucknow Super Giants,Bowler,1,3.5,priyanka.suresh,2026-03-21 02:33:20,I
Krunal Pandya,Royal Challengers Bengaluru,All-Rounder,1,10.0,mahaarajan13,2026-03-21 02:35:33,I
Tushar Deshpande,Rajasthan Royals,Bowler,1,1.0,sriram,2026-03-21 02:36:15,I
Naman Dhir,Mumbai Indians,Batsman,0.5,0.5,sriram,2026-03-21 02:37:51,I
Nehal Wadhera,Punjab Kings,Batsman,0.5,5.5,Neela,2026-03-21 02:39:59,I
Vaibhav Suryavanshi,Rajasthan Royals,Batsman,0.5,16.0,priyanka.suresh,2026-03-21 02:42:06,I
Sherfane Rutherford,Mumbai Indians,Batsman,1,4.0,ColdTaker,2026-03-21 02:43:48,F
Angkrish Raghuvanshi,Kolkata Knight Riders,Batsman,0.5,2.5,Neela,2026-03-21 02:46:12,I
Harpreet Brar,Punjab Kings,Bowler,0.5,5.0,shashaank,2026-03-21 02:49:55,I
Dhruv Jurel,Rajasthan Royals,Wicketkeeper,1,6.5,shashaank,2026-03-21 02:51:29,I
Romario Shepherd,Royal Challengers Bengaluru,All-Rounder,1,13.0,shashaank,2026-03-21 02:53:28,F
Prasidh Krishna,Gujarat Titans,Bowler,1,8.5,priyanka.suresh,2026-03-21 02:55:25,I
Rashid Khan,Gujarat Titans,All-Rounder,1,7.5,priyanka.suresh,2026-03-21 02:57:46,F
Cameron Green,Kolkata Knight Riders,All-Rounder,1,8.0,sriram,2026-03-21 03:01:10,F
Matt Henry,Chennai Super Kings,Bowler,1,5.0,sk,2026-03-21 03:05:18,F
Shahbaz Ahmed,Lucknow Super Giants,All-Rounder,0.5,0.5,sriram,2026-03-21 03:06:36,I
Ayush Mhatre,Chennai Super Kings,Batsman,0.5,17.0,mahaarajan13,2026-03-21 03:09:52,I
Rahul Tewatia,Gujarat Titans,Batsman,1,2.0,shashaank,2026-03-21 03:11:02,I
Yuzvendra Chahal,Punjab Kings,Bowler,1,10,ColdTaker,2026-03-21 02:14:53,I
