sriram,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28
mumbai indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jasprit bumrah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,57.0,57.0,50.0,50.0,50.0,50.0,106.0,106.0,106.0,159.0,159.0
suryakumar yadav,0.0,35.0,35.0,35.0,35.0,35.0,35.0,140.0,140.0,140.0,155.0,155.0,155.0,155.0,155.0,235.0,235.0,235.0,235.0,215.0,215.0,215.0,215.0,244.0,244.0,244.0,299.0,299.0
quinton de kock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.0,310.0,310.0,310.0,366.0,366.0,366.0,375.0,375.0
tushar deshpande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,48.0,55.0,55.0,55.0,55.0,55.0,55.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0,131.0
naman dhir,0.0,12.0,12.0,12.0,12.0,12.0,12.0,64.0,64.0,64.0,124.0,124.0,124.0,124.0,124.0,125.0,125.0,125.0,125.0,255.0,255.0,255.0,255.0,385.0,385.0,385.0,379.0,379.0
cameron green,0.0,38.0,38.0,38.0,38.0,55.0,55.0,55.0,55.0,64.0,64.0,64.0,130.0,130.0,130.0,130.0,130.0,91.0,91.0,91.0,297.0,297.0,363.0,363.0,363.0,363.0,363.0,363.0
shahbaz ahmed,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ashwani kumar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,162.0,162.0,214.0,214.0
shimron hetmyer,0.0,0.0,15.0,15.0,15.0,15.0,15.0,75.0,75.0,75.0,96.0,96.0,96.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,121.0,135.0,135.0,135.0,170.0,170.0,170.0
vipraj nigam,0.0,0.0,0.0,0.0,3.0,3.0,3.0,35.0,35.0,35.0,35.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
mitchell marsh,0.0,0.0,0.0,0.0,65.0,65.0,65.0,65.0,85.0,85.0,85.0,85.0,112.0,112.0,112.0,141.0,141.0,141.0,211.0,211.0,211.0,211.0,319.0,319.0,319.0,429.0,429.0,429.0
pathum nissanka,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,85.0,85.0,85.0,85.0,174.0,174.0,174.0,280.0,280.0,280.0,280.0,280.0,280.0,280.0,296.0,296.0,296.0,311.0,311.0,311.0,311.0
vaibhav arora,0.0,-1.0,-1.0,-1.0,-1.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,88.0,88.0,88.0,88.0,88.0,98.0,98.0,98.0,125.0,125.0,139.0,139.0,139.0,139.0,139.0,139.0
