suddu,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60
royal challengers bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virat kohli,181.0,181.0,181.0,181.0,181.0,181.0,181.0,181.0,254.0,254.0,254.0,254.0,254.0,345.0,345.0,442.0,442.0,442.0,535.0,535.0,535.0,584.0,584.0,584.0,584.0,584.0,584.0,789.0,789.0,835.0,835.0,835.0,835.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,900.0,900.0,900.0,895.0,895.0,895.0,1160.0,1160.0,1160.0,1160.0,1318.0,1318.0,1318.0,1318.0,1318.0,1343.0,1343.0,1343.0,1343.0,1450.0
rajat patidar,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,245.0,245.0,245.0,245.0,245.0,385.0,385.0,553.0,553.0,553.0,638.0,638.0,638.0,657.0,657.0,657.0,657.0,657.0,657.0,674.0,674.0,674.0,674.0,674.0,674.0,706.0,706.0,706.0,706.0,706.0,706.0,706.0,878.0,878.0,878.0,917.0,917.0,917.0,937.0,937.0,937.0,937.0,937.0,937.0,937.0,937.0,937.0,1051.0,1051.0,1051.0,1051.0,1341.0
noor ahmad,0.0,0.0,-14.0,-14.0,-14.0,-14.0,-3.0,-3.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,22.0,22.0,22.0,149.0,149.0,149.0,149.0,171.0,171.0,171.0,171.0,171.0,259.0,259.0,259.0,299.0,299.0,299.0,299.0,299.0,299.0,378.0,378.0,378.0,446.0,446.0,446.0,446.0,446.0,503.0,503.0,503.0,503.0,503.0,538.0,538.0,538.0,556.0,556.0,556.0,531.0,531.0,531.0,531.0,531.0,531.0
ravi bishnoi,0.0,0.0,82.0,82.0,82.0,82.0,82.0,206.0,206.0,206.0,266.0,266.0,266.0,328.0,328.0,328.0,307.0,307.0,307.0,307.0,307.0,307.0,299.0,299.0,299.0,332.0,332.0,332.0,336.0,336.0,336.0,336.0,336.0,336.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
rahul chahar,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0
jason holder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,79.0,145.0,145.0,145.0,145.0,281.0,281.0,281.0,445.0,445.0,445.0,445.0,445.0,445.0,586.0,586.0,586.0,732.0,732.0,732.0,732.0,723.0,723.0,723.0,723.0,723.0,738.0,738.0,738.0,738.0,738.0,768.0
ravindra jadeja,0.0,0.0,78.0,78.0,78.0,78.0,78.0,105.0,105.0,105.0,105.0,105.0,105.0,164.0,164.0,164.0,245.0,245.0,245.0,245.0,245.0,245.0,362.0,362.0,362.0,485.0,485.0,485.0,490.0,490.0,490.0,497.0,497.0,497.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,547.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,654.0,681.0,681.0,681.0
ms dhoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jacob bethell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,70.0,70.0,70.0,70.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,96.0,96.0,96.0,145.0,145.0,145.0,171.0,171.0,171.0,171.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0,207.0
suyash sharma,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,125.0,125.0,125.0,131.0,131.0,131.0,126.0,126.0,126.0,126.0,126.0,126.0,147.0,147.0,262.0,262.0,262.0,262.0,271.0,271.0,271.0,271.0,271.0,271.0,271.0,265.0,265.0,265.0,257.0,257.0,257.0,257.0,257.0,257.0,257.0,255.0,255.0,255.0,255.0,255.0,263.0,263.0,263.0,263.0,263.0
rinku singh,0.0,81.0,81.0,81.0,81.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,196.0,196.0,196.0,196.0,196.0,199.0,199.0,199.0,215.0,215.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,602.0,602.0,602.0,602.0,602.0,602.0,602.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,754.0,754.0,754.0,754.0,754.0,754.0,754.0,788.0,788.0,788.0,788.0,783.0,783.0,783.0
jos buttler,0.0,0.0,0.0,77.0,77.0,77.0,77.0,152.0,152.0,152.0,152.0,317.0,317.0,317.0,317.0,464.0,464.0,464.0,464.0,464.0,597.0,597.0,597.0,603.0,603.0,603.0,603.0,656.0,656.0,755.0,755.0,755.0,755.0,883.0,883.0,883.0,974.0,974.0,974.0,974.0,974.0,974.0,1012.0,1012.0,1012.0,1098.0,1098.0,1098.0,1098.0,1225.0,1225.0,1225.0,1225.0,1225.0,1404.0,1404.0,1404.0,1404.0,1404.0,1499.0
anukul roy,0.0,22.0,22.0,22.0,22.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,107.0,107.0,107.0,107.0,107.0,146.0,146.0,146.0,141.0,141.0,208.0,208.0,208.0,208.0,208.0,208.0,208.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,283.0,283.0,283.0,283.0,283.0,365.0,365.0,365.0,365.0,365.0,348.0,348.0,348.0,350.0,350.0,350.0,350.0,392.0,392.0,392.0,392.0,421.0,421.0,421.0
