Team,Sold Price,Winner,Sold Time
Kolkata Knight Riders,5.0,Naren,2026-03-21 01:54:17
Lucknow Super Giants,6.0,AkshayM,2026-03-21 01:55:59
Chennai Super Kings,24.0,ColdTaker,2026-03-21 02:00:00
Mumbai Indians,41.0,sriram,2026-03-21 02:02:04
Punjab Kings,12.0,mahaarajan13,2026-03-21 02:03:45
Rajasthan Royals,8.0,priyanka.suresh,2026-03-21 02:04:49
Gujarat Titans,9.5,sk,2026-03-21 02:06:13
Royal Challengers Bengaluru,10.0,suddu,2026-03-21 02:07:50
Sunrisers Hyderabad,5.0,shashaank,2026-03-21 02:08:16
Delhi Capitals,5.0,Neela,2026-03-21 02:08:45
