Arvindh,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30
kolkata knight riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunil narine,0.0,9.5,9.5,9.5,9.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,40.0,40.0,40.0,40.0,40.0,66.5,66.5,66.5,81.0,81.0,103.5,103.5,103.5,103.5,103.5,103.5,103.5,116.5
varun chakaravarthy,0.0,5.0,5.0,5.0,5.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,17.0,17.0,29.0,29.0,52.5,52.5,52.5,52.5,52.5,52.5,52.5,69.5
mukesh kumar,0.0,0.0,0.0,0.0,15.5,15.5,15.5,37.5,37.5,37.5,37.5,52.5,52.5,52.5,59.5,59.5,59.5,59.5,59.5,59.5,59.5,73.0,73.0,73.0,79.0,79.0,79.0,79.0,80.0,80.0
dhruv jurel,0.0,0.0,16.0,16.0,16.0,16.0,16.0,49.5,49.5,49.5,54.5,54.5,54.5,84.0,87.5,87.5,91.0,91.0,91.0,91.0,91.0,91.0,96.0,96.0,96.0,103.5,103.5,103.5,129.5,129.5
rahul tewatia,0.0,0.0,0.0,2.5,2.5,2.5,2.5,8.5,8.5,8.5,8.5,11.0,11.0,11.0,11.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,18.5,18.5,18.5,18.5,18.5,18.5,18.5
matt henry,0.0,0.0,4.5,4.5,4.5,4.5,20.0,20.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
mayank yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,8.5,8.5,8.5
shahrukh khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,14.5,14.5,14.5,14.5,17.0,17.0,19.5
cameron green,0.0,6.0,6.0,6.0,6.0,8.5,8.5,8.5,8.5,11.0,11.0,11.0,29.5,29.5,29.5,29.5,29.5,32.5,32.5,32.5,69.0,69.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,110.0
phil salt,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,65.5,65.5,65.5,70.5,70.5,70.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5,93.5
riyan parag,0.0,0.0,6.0,6.0,6.0,6.0,6.0,16.0,16.0,16.0,25.5,25.5,25.5,25.5,25.5,25.5,35.0,35.0,35.0,35.0,35.0,35.0,38.5,38.5,38.5,52.0,52.0,52.0,52.0,52.0
nitish kumar reddy,5.0,5.0,5.0,5.0,5.0,30.5,30.5,30.5,59.0,59.0,59.0,59.0,59.0,59.0,62.5,62.5,84.5,84.5,84.5,84.5,84.5,106.5,106.5,106.5,114.0,114.0,114.0,114.0,139.5,139.5
ajinkya rahane,0.0,25.0,25.0,25.0,25.0,27.5,27.5,27.5,27.5,30.0,30.0,30.0,47.0,47.0,47.0,47.0,47.0,54.0,54.0,54.0,54.0,54.0,56.5,56.5,56.5,56.5,56.5,56.5,56.5,60.0
shashank singh,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,25.0,25.0,25.0,25.0,25.0,34.0,34.0,34.0,43.5,43.5,43.5,43.5,43.5,43.5,52.0,52.0
rinku singh,0.0,12.5,12.5,12.5,12.5,31.0,31.0,31.0,31.0,31.0,31.0,31.0,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,36.0,36.0,55.5,55.5,55.5,55.5,55.5,55.5,55.5,100.5
