Kumar & Akash,Vasan,Manav & Sri,Vasanth,Raghav,Arvindh,Niranjani,Mira & Arjun,Sriram V
Gujarat Titans,Rajasthan Royals,Royal Challengers Bengaluru,Chennai Super Kings,Sunrisers Hyderabad,Kolkata Knight Riders,Delhi Capitals,Punjab Kings,Mumbai Indians
Shubman Gill,Yashasvi Jaiswal,Virat Kohli,Sanju Samson,Travis Head,Sunil Narine,K L Rahul,N Tilak Varma,Rohit Sharma
Luhan Dre Pretorious,Shimron Hetmyer,Rajat Patidar,Ruturaj Gaikwad,Abhishek Sharma,Varun Chakaravarthy,Axar Patel,Shreyas Iyer,Surya kumar Yadav
Anshul Kamboj,Ravindra Jadeja,Jacob Bethell,Dewald Brevis,Ishan Kishan,Mukesh Kumar,Tristan Stubbs,Marco Jansen,Quinton De Kock
Noor Ahmad,Mohammed Siraj,Sai Sudharsan,Vyshak Vijaykumar,Prabhsimran Singh,Dhruv Jurel,Digvesh Singh,Yuzvendra Chahal,Mitchell Santner
Mohammad Shami,Khaleel Ahmed,Mitchell Starc,Jacob Duffy,Romario Shepherd,Rahul Tewatia,Trent Boult,Aniket Verma,Ryan Rickelton
Rashid Khan,Vaibhav Arora,Shivam Dube,Suyash Sharma,Tushar Deshpande,Matt Henry,Glenn Phillips,Jasprit Bumrah,Akash Singh
Finn Allen,M S Dhoni,Kartik Tyagi,Rishabh Pant,Kagiso Rabada,Mayank Yadav,Aiden Markram,Ravi Bishnoi,Ashutosh Sharma
Naman Dhir,Jamie Overton,Nicholas Pooran,T Natarajan,V Iyer,Shahrukh Khan,Kuldeep Yadav,Priyansh Arya,Mitchell Marsh
Prasidh Krishna,Pathum Nissanka,Arshad Khan,Arshdeep Singh,Mayank Markande,Cameron Green,Vipraj Nigam,Prithvi Shaw,Ayush Mhatre
Hardik Pandya,Liam Livingstone,Pat Cummins,Avesh Khan,Salil Arora,Phil Salt,Krunal Pandya,Harsh Dubey,Nitish Rana
David Miller,Omkar Tarmale,Jofra Archer,Marcus Stoinis,Anukul Roy,Riyan Parag,Harshal Patel,Ashwani kumar,Blessing Muzarabani
Abhishek Porel,Rahul Chahar,Umran Malik,Mangesh Yadav,Vaibhav Sooryavanshi,Nitish Kumar Reddy,Ayush Badoni,Cooper Connolly,Deepak Chahar
Sameer Rizvi,Devdutt Padikkal,Rahul Tripathi,Heinrich Klaasen,Matheesha Pathirana,Ajinkya Rahane,Tim David,Mohsin Khan,Harpreet Brar
Aqib Nabi,Sandeep Sharma,Shahbaz Ahamad,Angkrish Raghuvanshi,Akeal Hosein,Shashank Singh,Bhuvneshwar Kumar,Prashant Veer,Brydon Carse
,Abdul Samad,Will Jacks,Washington Sundar,,Rinku Singh,Nehal Wadhera,Jitesh Sharma,Tim Seifert
