Kumar & Akash,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62
gujarat titans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shubman gill,0.0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,50.0,50.0,50.0,50.0,73.5,73.5,73.5,73.5,73.5,107.5,107.5,107.5,115.0,115.0,115.0,115.0,123.5,123.5,139.0,139.0,139.0,139.0,161.5,161.5,161.5,166.5,166.5,166.5,166.5,166.5,166.5,202.0,202.0,202.0,207.0,207.0,207.0,207.0,244.0,244.0,244.0,244.0,244.0,276.5,276.5,276.5,276.5,276.5,279.0,279.0,279.0
luhan dre pretorious,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anshul kamboj,0.0,0.0,17.5,17.5,17.5,17.5,33.5,33.5,49.0,49.0,49.0,49.0,49.0,49.0,73.0,73.0,73.0,89.0,89.0,89.0,89.0,113.0,113.0,113.0,113.0,113.0,131.0,131.0,131.0,141.0,141.0,141.0,141.0,141.0,141.0,163.5,163.5,163.5,170.5,170.5,170.5,170.5,170.5,186.5,186.5,186.5,186.5,186.5,190.5,190.5,190.5,200.0,200.0,200.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
noor ahmad,0.0,0.0,4.0,4.0,4.0,4.0,12.5,12.5,24.5,24.5,24.5,24.5,24.5,24.5,34.5,34.5,34.5,53.0,53.0,53.0,53.0,62.5,62.5,62.5,62.5,62.5,78.5,78.5,78.5,88.0,88.0,88.0,88.0,88.0,88.0,104.0,104.0,104.0,117.0,117.0,117.0,117.0,117.0,130.5,130.5,130.5,130.5,130.5,138.5,138.5,138.5,149.0,149.0,149.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0
mohammad shami,0.0,0.0,0.0,0.0,15.5,15.5,15.5,15.5,40.5,40.5,40.5,40.5,52.0,52.0,52.0,73.5,73.5,73.5,80.5,80.5,80.5,80.5,94.5,94.5,94.5,120.0,120.0,120.0,120.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,146.0,146.0,146.0,162.5,162.5,162.5,168.5,168.5,168.5,168.5,168.5,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,197.0,197.0,197.0,197.0,197.0,197.0
rashid khan,0.0,0.0,0.0,16.0,16.0,16.0,16.0,31.0,31.0,31.0,31.0,51.5,51.5,51.5,51.5,60.5,60.5,60.5,60.5,60.5,74.0,74.0,74.0,79.0,79.0,79.0,79.0,93.0,93.0,94.0,94.0,94.0,94.0,123.5,123.5,123.5,134.0,134.0,134.0,134.0,134.0,134.0,160.0,160.0,160.0,166.5,166.5,166.5,166.5,173.0,173.0,173.0,173.0,173.0,189.5,189.5,189.5,189.5,189.5,197.0,197.0,197.0
finn allen,0.0,22.0,22.0,22.0,22.0,39.0,39.0,39.0,39.0,41.5,41.5,41.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,61.0,61.0,61.0,61.0,61.0,108.5,108.5,108.5,108.5,108.5,119.5,119.5,119.5,164.5,164.5,164.5,164.5,169.5,169.5,169.5,169.5,183.0,183.0,183.0,183.0,183.0
naman dhir,0.0,2.5,2.5,2.5,2.5,2.5,2.5,11.0,11.0,11.0,17.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,42.5,42.5,42.5,42.5,68.5,68.5,68.5,71.0,71.0,71.0,71.0,71.0,71.0,78.5,78.5,78.5,99.0,99.0,112.5,112.5,112.5,112.5,112.5,112.5,134.5,134.5,134.5,134.5,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,138.0,145.5,145.5,145.5,145.5,145.5
prasidh krishna,0.0,0.0,0.0,24.0,24.0,24.0,24.0,36.5,36.5,36.5,36.5,50.5,50.5,50.5,50.5,77.5,77.5,77.5,77.5,77.5,90.0,90.0,90.0,97.5,97.5,97.5,97.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,121.5,121.5,121.5,121.5,121.5,131.5,131.5,131.5
hardik pandya,0.0,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,28.5,28.5,28.5,28.5,28.5,60.0,60.0,60.0,60.0,66.5,66.5,66.5,66.5,74.5,74.5,74.5,78.5,78.5,78.5,78.5,78.5,78.5,101.0,101.0,101.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,107.0,122.5,122.5,122.5,122.5,137.0,137.0,137.0,137.0,137.0
david miller,0.0,0.0,0.0,0.0,2.5,2.5,2.5,12.5,12.5,12.5,12.5,30.5,30.5,30.5,36.5,36.5,36.5,36.5,36.5,36.5,36.5,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,82.5,82.5,82.5,82.5,82.5,82.5,88.5,88.5,88.5,88.5,88.5,88.5,88.5,104.0,104.0,104.0,104.0,104.0
abishek porel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,10.0,10.0,10.0,10.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,41.0,41.0,41.0,41.0,41.0
