Manav & Sri,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54
royal challengers bengaluru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virat kohli,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,43.5,43.5,43.5,43.5,43.5,63.5,63.5,79.5,79.5,79.5,98.0,98.0,98.0,108.0,108.0,108.0,108.0,108.0,108.0,142.0,142.0,151.5,151.5,151.5,151.5,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,170.0,172.5,172.5,172.5,198.5,210.5,210.5,210.5,236.0,236.0,236.0,236.0
rajat patidar,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,44.0,44.0,44.0,44.0,44.0,68.0,68.0,98.0,98.0,98.0,113.5,113.5,113.5,117.0,117.0,117.0,117.0,117.0,117.0,120.5,120.5,120.5,120.5,120.5,120.5,129.0,129.0,129.0,129.0,129.0,129.0,129.0,160.0,160.0,160.0,167.5,167.5,167.5,171.0,171.0,171.0,171.0,171.0,171.0,171.0,171.0
jacob bethell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,19.5,19.5,19.5,19.5,22.0,22.0,22.0,22.0,22.0,22.0,22.0,27.0,27.0,27.0,34.5,34.5,34.5,43.0,43.0,43.0,43.0,50.5,50.5,50.5,50.5
sai sudharsan,0.0,0.0,0.0,5.0,5.0,5.0,5.0,38.0,38.0,38.0,38.0,47.5,47.5,47.5,47.5,55.0,55.0,55.0,55.0,55.0,64.5,64.5,64.5,64.5,64.5,64.5,64.5,109.5,109.5,144.0,144.0,144.0,144.0,151.5,151.5,151.5,167.5,167.5,167.5,167.5,167.5,167.5,189.5,189.5,189.5,209.0,209.0,209.0,209.0,234.5,234.5,234.5,234.5,234.5
mitchell starc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,34.0,34.0,34.0,41.0,41.0,41.0,57.0,57.0,57.0,57.0,57.0,57.0,82.5,82.5,82.5,82.5
shivam dube,0.0,0.0,3.5,3.5,3.5,3.5,19.5,19.5,36.0,36.0,36.0,36.0,36.0,36.0,44.5,44.5,44.5,52.0,52.0,52.0,52.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,78.0,78.0,78.0,78.0,78.0,92.5,92.5,92.5,104.5,104.5,104.5
kartik tyagi,0.0,12.5,12.5,12.5,12.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,36.5,36.5,36.5,36.5,36.5,52.5,52.5,52.5,69.0,69.0,92.5,92.5,92.5,92.5,92.5,92.5,92.5,107.0,107.0,107.0,107.0,107.0,107.0,107.0,123.0,123.0,123.0,123.0,123.0,141.0,141.0,141.0,141.0,141.0,159.5,165.0,165.0,171.0,171.0,171.0,171.0,188.0
nicholas pooran,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,6.0,6.0,6.0,13.0,13.0,13.0,15.5,15.5,15.5,15.5,21.5,21.5,21.5,31.5,31.5,31.5,31.5,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,68.0,68.0,68.0,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,100.5,100.5,100.5,100.5,107.5,107.5
arshad khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pat cummins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,15.5,15.5,20.5,20.5,20.5,20.5,34.5,34.5,34.5,56.5,56.5,56.5,56.5,56.5,56.5,82.5,82.5,82.5,82.5,82.5,82.5,108.0,108.0,108.0
jofra archer,0.0,0.0,24.0,24.0,24.0,24.0,24.0,39.0,39.0,39.0,48.0,50.0,50.0,63.0,63.0,63.0,83.0,83.0,83.0,83.0,83.0,83.0,98.0,98.0,98.0,125.5,125.5,125.5,148.0,148.0,148.0,161.5,161.5,161.5,174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,183.0,200.0,200.0,214.5,214.5
umran malik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
