Mira & Arjun,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33
punjab kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tilak varma,0.0,15.0,15.0,15.0,15.0,15.0,15.0,17.5,17.5,17.5,27.5,27.5,27.5,27.5,27.5,30.0,30.0,30.0,30.0,35.0,35.0,35.0,35.0,79.5,79.5,79.5,94.5,94.5,94.5,94.5,94.5,94.5,98.0
shreyas iyer,0.0,0.0,0.0,9.5,9.5,9.5,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,60.0,60.0,60.0,60.0,60.0,86.5,86.5,86.5,89.0,89.0,89.0,89.0,89.0,89.0,123.5,123.5,123.5,132.0,132.0
marco jansen,0.0,0.0,0.0,17.5,17.5,17.5,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,39.5,39.5,39.5,39.5,39.5,51.0,51.0,51.0,64.0,64.0,64.0,64.0,64.0,64.0,71.0,71.0,71.0,77.5,77.5
yuzvendra chahal,0.0,0.0,0.0,16.0,16.0,16.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,29.0,29.0,29.0,29.0,29.0,34.5,34.5,34.5,43.0,43.0,43.0,43.0,43.0,43.0,46.0,46.0,46.0,63.5,63.5
aniket verma,21.5,21.5,21.5,21.5,21.5,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,32.5,32.5,35.0,35.0,35.0,35.0,35.0,37.5,37.5,37.5,40.0,40.0,40.0,40.0,42.5,42.5,42.5,42.5,42.5
jasprit bumrah,0.0,4.0,4.0,4.0,4.0,4.0,4.0,19.0,19.0,19.0,24.0,26.5,26.5,26.5,26.5,33.5,33.5,33.5,33.5,42.5,42.5,42.5,42.5,57.0,57.0,57.0,73.0,73.0,73.0,73.0,73.0,71.28571428571429,77.28571428571429
ravi bishnoi,0.0,0.0,16.5,16.5,16.5,16.5,16.5,39.5,39.5,39.5,51.0,51.0,51.0,66.0,66.0,66.0,69.5,69.5,69.5,69.5,69.5,69.5,78.0,78.0,78.0,87.5,87.5,87.5,91.0,91.0,91.0,91.0,91.0
priyansh arya,0.0,0.0,0.0,3.5,3.5,3.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,55.0,55.0,55.0,55.0,55.0,63.5,63.5,63.5,105.0,105.0,105.0,105.0,105.0,105.0,127.5,127.5,127.5,143.5,143.5
prithvi shaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harsh dubey,10.0,10.0,10.0,10.0,10.0,24.0,24.0,24.0,43.0,43.0,43.0,43.0,43.0,43.0,51.5,51.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,55.5,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,78.5
ashwani kumar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,28.0,28.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
cooper connolly,0.0,0.0,0.0,32.5,32.5,32.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,47.5,52.5,52.5,52.5,52.5,52.5,62.0,62.0,62.0,106.5,106.5,106.5,106.5,106.5,106.5,112.5,112.5,112.5,128.0,128.0
mohsin khan,0.0,0.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,33.5,33.5,33.5,54.0,54.0,54.0,54.0,85.5,85.5,85.5,85.5
prashant veer,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
jitesh sharma,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,7.5,7.5,7.5,7.5,7.5,10.0,10.0,12.5,12.5,12.5,27.0,27.0,27.0,32.0,32.0,32.0,32.0,32.0,32.0,38.0,38.0,48.0,48.0,48.0,48.0
