Niranjani,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61
delhi capitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k l rahul,0.0,0.0,0.0,0.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,44.0,44.0,44.0,52.5,52.5,52.5,52.5,52.5,52.5,52.5,78.0,78.0,78.0,91.0,91.0,91.0,91.0,162.5,162.5,162.5,162.5,162.5,162.5,195.0,195.0,195.0,195.0,202.5,202.5,202.5,212.5,212.5,212.5,217.5,217.5,217.5,217.5,217.5,217.5,230.5,230.5,230.5,230.5,230.5,230.5,230.5,257.0,257.0,257.0,257.0
axar patel,0.0,0.0,0.0,0.0,12.5,12.5,12.5,26.5,26.5,26.5,26.5,28.5,28.5,28.5,37.0,37.0,37.0,37.0,37.0,37.0,37.0,58.5,58.5,58.5,63.0,63.0,63.0,63.0,71.5,72.5,72.5,72.5,72.5,72.5,84.5,84.5,84.5,84.5,100.0,100.0,100.0,112.5,112.5,112.5,142.0,142.0,142.0,142.0,142.0,142.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0,199.0,199.0,199.0,199.0
tristan stubbs,0.0,0.0,0.0,0.0,16.0,16.0,16.0,18.5,18.5,18.5,18.5,18.5,18.5,18.5,39.0,39.0,39.0,39.0,39.0,39.0,39.0,55.0,55.0,55.0,66.0,66.0,66.0,66.0,66.0,68.5,68.5,68.5,68.5,68.5,77.0,77.0,77.0,77.0,86.5,86.5,86.5,86.5,86.5,86.5,89.0,89.0,89.0,89.0,89.0,89.0,91.5,91.5,91.5,91.5,91.5,91.5,91.5,94.0,94.0,94.0,94.0
digvesh singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,8.5,8.5,23.5,23.5,23.5,33.0,33.0,33.0,39.5,39.5,39.5,39.5,39.5,39.5,39.5,47.0,47.0,47.0,47.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,61.5,61.5,61.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,75.5,82.5,82.5,82.5,82.5,83.5,83.5,83.5,83.5,83.5
trent boult,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,29.5,29.5,29.5,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
glenn phillips,0.0,0.0,0.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,19.5,19.5,19.5,19.5,24.5,24.5,24.5,24.5,24.5,34.5,34.5,34.5,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
aiden markram,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,32.5,32.5,32.5,32.5,43.5,43.5,43.5,64.0,64.0,64.0,67.5,67.5,67.5,67.5,88.0,88.0,88.0,88.0,88.0,88.0,88.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,111.5,111.5,111.5,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5,116.5
kuldeep yadav,0.0,0.0,0.0,0.0,20.0,20.0,20.0,24.0,24.0,24.0,24.0,32.5,32.5,32.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,47.5,47.5,47.5,49.5,49.5,49.5,49.5,64.5,64.5,64.5,64.5,64.5,64.5,68.5,68.5,68.5,68.5,75.5,75.5,75.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,81.5,101.0,101.0,101.0,101.0
vipraj nigam,0.0,0.0,0.0,0.0,2.0,2.0,2.0,12.5,12.5,12.5,12.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,18.5,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
