Raghav,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49,day_50,day_51,day_52,day_53,day_54,day_55,day_56,day_57,day_58,day_59,day_60,day_61,day_62,day_63
sunrisers hyderabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travis head,5.0,5.0,5.0,5.0,5.0,30.5,30.5,30.5,33.0,33.0,33.0,33.0,33.0,33.0,49.0,49.0,56.5,56.5,56.5,56.5,56.5,67.5,67.5,67.5,79.5,79.5,79.5,79.5,83.0,83.0,83.0,83.0,121.0,121.0,121.0,121.0,154.0,154.0,154.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,172.0,174.5,174.5,174.5,174.5,192.5,192.5,192.5,192.5,192.5,201.0,201.0,201.0
abhishek sharma,3.5,3.5,3.5,3.5,3.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,70.0,70.0,72.5,72.5,72.5,72.5,72.5,101.5,101.5,101.5,166.5,166.5,166.5,166.5,197.5,197.5,197.5,197.5,220.5,220.5,220.5,220.5,230.5,230.5,230.5,252.0,252.0,252.0,252.0,252.0,252.0,255.5,255.5,255.5,255.5,255.5,255.5,266.5,266.5,266.5,266.5,299.0,299.0,299.0,299.0,299.0,306.5,306.5,306.5
ishan kishan,37.5,37.5,37.5,37.5,37.5,50.0,50.0,50.0,54.5,54.5,54.5,54.5,54.5,54.5,65.5,65.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,111.5,120.0,120.0,120.0,120.0,158.0,158.0,158.0,158.0,160.5,160.5,160.5,160.5,177.5,177.5,177.5,199.0,199.0,199.0,199.0,199.0,199.0,210.0,210.0,210.0,210.0,210.0,210.0,240.5,240.5,240.5,240.5,271.0,271.0,271.0,271.0,271.0,291.0,291.0,291.0
prabhsimran singh,0.0,0.0,0.0,16.5,16.5,16.5,37.5,37.5,37.5,42.5,42.5,42.5,42.5,42.5,67.5,67.5,67.5,67.5,67.5,102.0,102.0,102.0,104.5,104.5,104.5,104.5,104.5,104.5,147.0,147.0,147.0,165.5,165.5,165.5,165.5,165.5,170.5,170.5,170.5,170.5,170.5,170.5,170.5,170.5,180.5,180.5,180.5,209.5,209.5,209.5,209.5,209.5,209.5,209.5,209.5,209.5,239.0,239.0,239.0,239.0,239.0,239.0,239.0
romario shepherd,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,24.0,24.0,28.5,28.5,28.5,34.5,34.5,34.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,38.5,38.5,38.5,38.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,73.0,75.5,75.5,87.0,87.0,87.0,87.0,87.0,87.0,87.0,95.0,95.0,95.0,95.0,95.0,97.0,97.0,97.0,97.0,99.0,99.0,99.0,99.0
tushar deshpande,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,15.0,19.5,19.5,19.5,19.5,19.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,41.5,46.5,46.5,46.5,46.5,46.5,46.5,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,66.5,70.5
kagiso rabada,0.0,0.0,0.0,10.5,10.5,10.5,10.5,38.0,38.0,38.0,38.0,47.0,47.0,47.0,47.0,57.5,57.5,57.5,57.5,57.5,83.5,83.5,83.5,114.0,114.0,114.0,114.0,121.0,121.0,146.5,146.5,146.5,146.5,160.0,160.0,160.0,183.0,183.0,183.0,183.0,183.0,183.0,199.0,199.0,199.0,222.5,222.5,222.5,222.5,232.5,232.5,232.5,232.5,232.5,255.5,255.5,255.5,255.5,255.5,275.5,275.5,275.5,295.0
venkatesh iyer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,46.0,46.0,46.0,46.0,46.0,72.5,72.5,72.5,72.5,83.5,83.5,83.5,83.5
mayank markande,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
