Sriram V,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,day_32,day_33,day_34,day_35,day_36,day_37,day_38,day_39,day_40,day_41,day_42,day_43,day_44,day_45,day_46,day_47,day_48,day_49
mumbai indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rohit sharma,0.0,36.0,36.0,36.0,36.0,36.0,36.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,60.5,100.0,100.0,100.0,100.0,100.0,100.0,112.0,112.0,112.0,112.0,119.0,119.0
surya kumar yadav,0.0,7.5,7.5,7.5,7.5,7.5,7.5,22.0,22.0,22.0,25.5,25.5,25.5,25.5,25.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,46.5,46.5,46.5,59.0,59.0,59.0,59.0,59.0,59.0,64.0,64.0,64.0,75.0,75.0,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5,82.5
quinton de kock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,47.0,58.0,58.0,58.0,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5,61.5
mitchell santner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,31.5,48.0,48.0,48.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ryan rickelton,0.0,38.0,38.0,38.0,38.0,38.0,38.0,45.5,45.5,45.5,49.0,49.0,49.0,49.0,49.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,120.0,120.0,120.0,140.0,140.0,188.0,188.0,188.0,188.0,188.0,188.0,195.5,195.5,195.5,195.5,219.5,219.5
akash singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
ashutosh sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,29.5,29.5,29.5,29.5,36.5,36.5,36.5,54.5,54.5,54.5,66.5,66.5,66.5,66.5,66.5
mitchell marsh,0.0,0.0,0.0,0.0,15.5,15.5,15.5,15.5,20.5,20.5,20.5,20.5,26.5,26.5,26.5,32.5,32.5,32.5,47.0,47.0,47.0,47.0,66.5,66.5,66.5,88.5,88.5,88.5,88.5,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,111.5,111.5,111.5,165.5,165.5,165.5,169.0,169.0,169.0,169.0,169.0,218.5
ayush mhatre,0.0,0.0,0.0,0.0,0.0,0.0,32.5,32.5,32.5,32.5,32.5,32.5,32.5,32.5,54.0,54.0,54.0,76.0,76.0,76.0,76.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
