Player,Team,Winner
Shubman Gill,Gujarat Titans,Kumar & Akash
Luhan Dre Pretorious,Gujarat Titans,Kumar & Akash
Anshul Kamboj,Gujarat Titans,Kumar & Akash
Noor Ahmad,Gujarat Titans,Kumar & Akash
Mohammed Shami,Gujarat Titans,Kumar & Akash
Rashid Khan,Gujarat Titans,Kumar & Akash
Finn Allen,Gujarat Titans,Kumar & Akash
Naman Dhir,Gujarat Titans,Kumar & Akash
Prasidh Krishna,Gujarat Titans,Kumar & Akash
Hardik Pandya,Gujarat Titans,Kumar & Akash
David Miller,Gujarat Titans,Kumar & Akash
Abhishek Porel,Gujarat Titans,Kumar & Akash
Sameer Rizvi,Gujarat Titans,Kumar & Akash
Aqib Nabi,Gujarat Titans,Kumar & Akash
Yashasvi Jaiswal,Rajasthan Royals,Vasan
Shimron Hetmyer,Rajasthan Royals,Vasan
Ravindra Jadeja,Rajasthan Royals,Vasan
Mohammad Siraj,Rajasthan Royals,Vasan
Khaleel Ahmed,Rajasthan Royals,Vasan
Vaibhav Arora,Rajasthan Royals,Vasan
M S Dhoni,Rajasthan Royals,Vasan
Jamie Overton,Rajasthan Royals,Vasan
Pathum Nissanka,Rajasthan Royals,Vasan
Liam Livingstone,Rajasthan Royals,Vasan
Omkar Tarmale,Rajasthan Royals,Vasan
Rahul Chahar,Rajasthan Royals,Vasan
Devdutt Padikkal,Rajasthan Royals,Vasan
Sandeep Sharma,Rajasthan Royals,Vasan
Abdul Samad,Rajasthan Royals,Vasan
Virat Kohli,Royal Challengers Bengaluru,Manav & Sri
Rajat Patidar,Royal Challengers Bengaluru,Manav & Sri
Jacob Bethell,Royal Challengers Bengaluru,Manav & Sri
Sai Sudarshan,Royal Challengers Bengaluru,Manav & Sri
Mitchell Starc,Royal Challengers Bengaluru,Manav & Sri
Shivam Dube,Royal Challengers Bengaluru,Manav & Sri
Kartik Tyagi,Royal Challengers Bengaluru,Manav & Sri
Nicholas Pooran,Royal Challengers Bengaluru,Manav & Sri
Arshad Khan,Royal Challengers Bengaluru,Manav & Sri
Pat Cummins,Royal Challengers Bengaluru,Manav & Sri
Hoffa Archer,Royal Challengers Bengaluru,Manav & Sri
Umran Malik,Royal Challengers Bengaluru,Manav & Sri
Rahul Tripathi,Royal Challengers Bengaluru,Manav & Sri
Shahbaz Ahmed,Royal Challengers Bengaluru,Manav & Sri
Will Jacks,Royal Challengers Bengaluru,Manav & Sri
Sanju Samson,Chennai Super Kings,Vasanth
Ruturaj Gaikwad,Chennai Super Kings,Vasanth
Dewald Brevis,Chennai Super Kings,Vasanth
Vijaykumar Vyshak,Chennai Super Kings,Vasanth
Jacob Duffy,Chennai Super Kings,Vasanth
Suyash Sharma,Chennai Super Kings,Vasanth
Rishabh Pant,Chennai Super Kings,Vasanth
T Natarajan,Chennai Super Kings,Vasanth
Arshdeep Singh,Chennai Super Kings,Vasanth
Avesh Khan,Chennai Super Kings,Vasanth
Marcus Stoinis,Chennai Super Kings,Vasanth
Mangesh Yadav,Chennai Super Kings,Vasanth
Heinrich Klaasen,Chennai Super Kings,Vasanth
Angkrish Raghuvanshi,Chennai Super Kings,Vasanth
Washington Sundar,Chennai Super Kings,Vasanth
Travis Head,Sunrisers Hyderabad,Raghav
Abhishek Sharma,Sunrisers Hyderabad,Raghav
Ishan Kishan,Sunrisers Hyderabad,Raghav
Prabsimran Singh,Sunrisers Hyderabad,Raghav
Romario Shepherd,Sunrisers Hyderabad,Raghav
Tushar Deshpande,Sunrisers Hyderabad,Raghav
Kagiso Rabada,Sunrisers Hyderabad,Raghav
V Iyer,Sunrisers Hyderabad,Raghav
Mayank Markande,Sunrisers Hyderabad,Raghav
Salil Arora,Sunrisers Hyderabad,Raghav
Anukul Roy,Sunrisers Hyderabad,Raghav
Vaibhav Suryavanshi,Sunrisers Hyderabad,Raghav
Matheesha Pathirana,Sunrisers Hyderabad,Raghav
Akeal Hosein,Sunrisers Hyderabad,Raghav
Sunil Narine,Kolkata Knight Riders,Arvindh
Varun Chakravarthy,Kolkata Knight Riders,Arvindh
Mukesh Kumar,Kolkata Knight Riders,Arvindh
Dhruv Jurel,Kolkata Knight Riders,Arvindh
Rahul Tewatia,Kolkata Knight Riders,Arvindh
Matt Henry,Kolkata Knight Riders,Arvindh
Mayank Yadav,Kolkata Knight Riders,Arvindh
Shahrukh Khan,Kolkata Knight Riders,Arvindh
Cameron Green,Kolkata Knight Riders,Arvindh
Phil Salt,Kolkata Knight Riders,Arvindh
Riyan Parag,Kolkata Knight Riders,Arvindh
Nitish Kumar Reddy,Kolkata Knight Riders,Arvindh
Ajinkya Rahane,Kolkata Knight Riders,Arvindh
Shashank Singh,Kolkata Knight Riders,Arvindh
Rinku Singh,Kolkata Knight Riders,Arvindh
KL Rahul,Delhi Capitals,Niranjani
Axar Patel,Delhi Capitals,Niranjani
Tristan Stubbs,Delhi Capitals,Niranjani
Digvesh Rathi,Delhi Capitals,Niranjani
Trent Boult,Delhi Capitals,Niranjani
Glenn Philipps,Delhi Capitals,Niranjani
Aiden Markram,Delhi Capitals,Niranjani
Kuldeep Yadav,Delhi Capitals,Niranjani
Vipraj Nigam,Delhi Capitals,Niranjani
Krunal Pandya,Delhi Capitals,Niranjani
Harshal Patel,Delhi Capitals,Niranjani
Ayush Badoni,Delhi Capitals,Niranjani
Tim David,Delhi Capitals,Niranjani
Bhuvneshwar Kumar,Delhi Capitals,Niranjani
Nehal Wadhera,Delhi Capitals,Niranjani
N Tilak Varma,Punjab Kings,Mira & Arjun
Shreyas Iyer,Punjab Kings,Mira & Arjun
Marco Jansen,Punjab Kings,Mira & Arjun
Yuzvendra Chahal,Punjab Kings,Mira & Arjun
Aniket Verma,Punjab Kings,Mira & Arjun
Jasprit Bumrah,Punjab Kings,Mira & Arjun
Ravi Bishnoi,Punjab Kings,Mira & Arjun
Priyansh Arya,Punjab Kings,Mira & Arjun
Prithvi Shaw,Punjab Kings,Mira & Arjun
Harsh Dubey,Punjab Kings,Mira & Arjun
Ashwani kumar,Punjab Kings,Mira & Arjun
Cooper Connolly,Punjab Kings,Mira & Arjun
Mohsin Khan,Punjab Kings,Mira & Arjun
Prashant Veer,Punjab Kings,Mira & Arjun
Jitesh Sharma,Punjab Kings,Mira & Arjun
Rohit Sharma,Mumbai Indians,Sriram V
Suryakumar Yadav,Mumbai Indians,Sriram V
Quinton De Kock,Mumbai Indians,Sriram V
Mitchell Santner,Mumbai Indians,Sriram V
Ryan Rickleton,Mumbai Indians,Sriram V
Akash Singh,Mumbai Indians,Sriram V
Ashutosh Sharma,Mumbai Indians,Sriram V
Mitchell Marsh,Mumbai Indians,Sriram V
Ayush Mhatre,Mumbai Indians,Sriram V
Nitish Rana,Mumbai Indians,Sriram V
Blessing Muzarabani,Mumbai Indians,Sriram V
Deepak Chahar,Mumbai Indians,Sriram V
Harpreet Brar,Mumbai Indians,Sriram V
Brydon Carse,Mumbai Indians,Sriram V
Tim Seifert,Mumbai Indians,Sriram V
