Player,Team
sunil narine,kolkata knight riders
varun chakravarthy,kolkata knight riders
mukesh kumar,kolkata knight riders
dhruv jurel,kolkata knight riders
rahul tewatia,kolkata knight riders
matt henry,kolkata knight riders
mayank yadav,kolkata knight riders
shahrukh khan,kolkata knight riders
cameron green,kolkata knight riders
phil salt,kolkata knight riders
riyan parag,kolkata knight riders
nitish kumar reddy,kolkata knight riders
ajinkya rahane,kolkata knight riders
shashank singh,kolkata knight riders
rinku singh,kolkata knight riders
