Player,Team
virat kohli,royal challengers bengaluru
rajat patidar,royal challengers bengaluru
jacob bethell,royal challengers bengaluru
sai sudharsan,royal challengers bengaluru
mitchell starc,royal challengers bengaluru
shivam dube,royal challengers bengaluru
kartik tyagi,royal challengers bengaluru
nicholas pooran,royal challengers bengaluru
arshad khan,royal challengers bengaluru
pat cummins,royal challengers bengaluru
jofra archer,royal challengers bengaluru
umran malik,royal challengers bengaluru
rahul tripathi,royal challengers bengaluru
shahbaz ahamad,royal challengers bengaluru
will jacks,royal challengers bengaluru
