Player,Team
sanju samson,chennai super kings
ruturaj gaikwad,chennai super kings
dewald brevis,chennai super kings
vyshak vijaykumar,chennai super kings
jacob duffy,chennai super kings
suyash sharma,chennai super kings
rishabh pant,chennai super kings
t natarajan,chennai super kings
arshdeep singh,chennai super kings
avesh khan,chennai super kings
marcus stoinis,chennai super kings
mangesh yadav,chennai super kings
heinrich klaasen,chennai super kings
angkrish raghuvanshi,chennai super kings
washington sundar,chennai super kings
