Player,Player Short Name,Team,Position,Pts,Owner
shadley van schalkwyk,s van schalkwyk,usa,alr,505,Unowned
ishan kishan,i kishan,ind,wk,446,sk
tim seifert,t seifert,nz,wk,431,ColdTaker
george dockrell,g dockrell,ire,bowl,418,Unowned
bas de leede,b de leede,neth,alr,414,Unowned
shubham ranjane,s ranjane,usa,alr,406,Unowned
aiden markram,a markram,sa,bat,376,ntkesh
gerhard erasmus,g erasmus,nam,bat,363,Unowned
jason holder,j holder,wi,alr,357,sudarshan
rahmanullah gurbaz,r gurbaz,afgh,wk,341,mahaarajanmg
blessing muzarabani,b muzarabani,zim,bowl,337,Unowned
shimron hetmyer,s hetmyer,wi,bat,327,ds&ps
dipendra singh airee,d singh airee,nep,alr,327,Unowned
hardik pandya,h pandya,ind,alr,326,ntkesh
lorcan tucker,l tucker,ire,wk,318,Unowned
saim ayub,s ayub,pak,bat,306,Sriram
sherfane rutherford,s rutherford,wi,bat,306,neela
ryan rickelton,r rickelton,sa,bat,303,Sriram
george munsey,g munsey,scot,bat,302,Unowned
lungi ngidi,l ngidi,sa,bowl,298,ColdTaker
marco jansen,m jansen,sa,alr,294,sudarshan
kusal mendis,k mendis,sl,wk,287,Sriram
finn allen,f allen,nz,bat,277,AkshayM
sahibzada farhan,s farhan,pak,wk,275,sudarshan
michael leask,m leask,scot,bowl,268,Unowned
suryakumar yadav,s yadav,ind,bat,267,sk
sam curran,s curran,eng,alr,264,sk
quinton de kock,q de kock,sa,wk,260,neela
brad evans,b evans,zim,alr,260,Unowned
harmeet singh,h singh,usa,bowl,259,Unowned
axar patel,a patel,ind,alr,259,mahaarajanmg
jacob bethell,j bethell,eng,bat,256,ColdTaker
david miller,d miller,sa,bat,254,sudarshan
varun chakravarthy,v chakravarthy,ind,bowl,251,ntkesh
scott edwards,s edwards,neth,wk,248,Unowned
sanjay krishnamurthi,s krishnamurthi,usa,bat,246,Unowned
richie berrington,r berrington,scot,bat,246,Unowned
shayan jahangir,s jahangir,usa,bat,244,Unowned
maheesh theekshana,m theekshana,sl,bowl,243,ColdTaker
ben manenti,b manenti,ita,bowl,240,Unowned
romario shepherd,r shepherd,wi,alr,238,ds&ps
milind kumar,m kumar,usa,alr,234,Unowned
mohammad mohsin,m mohsin,usa,bowl,233,Unowned
kamindu mendis,k mendis,sl,bat,233,sk
gareth delany,g delany,ire,alr,230,Unowned
nathan ellis,n ellis,aus,bowl,224,AkshayM
tilak varma,t varma,ind,bat,220,Sriram
saiteja mukkamalla,s mukkamalla,usa,bat,216,Unowned
azmatullah omarzai,a omarzai,afgh,alr,212,Unowned
tom banton,t banton,eng,wk,212,Unowned
monank patel,m patel,usa,wk,207,Unowned
louren steenkamp,l steenkamp,nam,bat,205,Unowned
shadab khan,s khan,pak,alr,203,AkshayM
brian bennett,b bennett,zim,alr,203,Unowned
brandon mcmullen,b mcmullen,scot,alr,200,Unowned
anthony mosca,a mosca,ita,bat,192,Unowned
navneet dhaliwal,n dhaliwal,can,bat,189,Unowned
shivam dube,s dube,ind,bat,188,Sriram
roston chase,r chase,wi,alr,186,sudarshan
tristan stubbs,t stubbs,sa,wk,186,sk
