Player,Player Short Name,Team,Position,Pts
matt renshaw,m renshaw,aus,bat,0
ben dwarshuis,b dwarshuis,aus,bowl,0
mayank kumar,m kumar,uae,bat,0
muhammad arfan,m arfan,uae,bowl,0
muhammad rohid,m rohid,uae,bowl,0
sohaib khan,s khan,uae,bat,0
simranjeet singh,s singh,uae,bowl,0
muhammad zohaib,m zohaib,uae,bat,0
muhammad jawadullah,m jawadullah,uae,bowl,0
muhammad farooq,m farooq,uae,alr,0
junaid siddique,j siddique,uae,bowl,0
harshit kaushik,h kaushik,uae,alr,0
haider ali,h ali,uae,bat,0
dhruv parashar,d parashar,uae,alr,0
aryansh sharma,a sharma,uae,wk,0
alishan sharafu,a sharafu,uae,bat,0
muhammad waseem,m waseem,uae,bat,0
shubham ranjane,s ranjane,usa,alr,0
mohammad mohsin,m mohsin,usa,bowl,0
sanjay krishnamurthi,s krishnamurthi,usa,bat,0
saiteja mukkamalla,s mukkamalla,usa,bat,0
shehan jayasuriya,s jayasuriya,usa,alr,0
jasdeep singh,j singh,usa,bowl,0
ali khan,a khan,usa,bowl,0
saurabh netravalkar,s netravalkar,usa,bowl,0
shadley van schalkwyk,s van schalkwyk,usa,alr,0
nosthush kenjige,n kenjige,usa,bowl,0
harmeet singh,h singh,usa,bowl,0
shayan jahangir,s jahangir,usa,bat,0
milind kumar,m kumar,usa,alr,0
andries gous,a gous,usa,bat,0
monank patel,m patel,usa,wk,0
shivam sharma,s sharma,can,alr,0
usman tariq,u tariq,pak,bowl,0
khawaja nafay,k nafay,pak,wk,0
salman mirza,s mirza,pak,bowl,0
usman khan,u khan,pak,bat,0
shadab khan,s khan,pak,alr,0
shaheen shah afridi,s shah afridi,pak,bowl,0
saim ayub,s ayub,pak,bat,0
sahibzada farhan,s farhan,pak,wk,0
naseem shah,n shah,pak,bowl,0
mohammad nawaz,m nawaz,pak,alr,0
fakhar zaman,f zaman,pak,bat,0
faheem ashraf,f ashraf,pak,alr,0
babar azam,b azam,pak,bat,0
abrar ahmed,a ahmed,pak,bowl,0
salman agha,s agha,pak,bat,0
finlay mccreath,f mccreath,scot,bat,0
zainullah ihsan,z ihsan,scot,bowl,0
oliver davidson,o davidson,scot,bowl,0
tom bruce,t bruce,scot,bat,0
brad wheal,b wheal,scot,bowl,0
mark watt,m watt,scot,bowl,0
safyaan sharif,s sharif,scot,bowl,0
george munsey,g munsey,scot,bat,0
brandon mcmullen,b mcmullen,scot,alr,0
michael leask,m leask,scot,bowl,0
michael jones,m jones,scot,bat,0
chris greaves,c greaves,scot,alr,0
bradley currie,b currie,scot,bowl,0
matthew cross,m cross,scot,wk,0
richie berrington,r berrington,scot,bat,0
quentin sampson,q sampson,wi,bat,0
romario shepherd,r shepherd,wi,alr,0
jayden seales,j seales,wi,bowl,0
sherfane rutherford,s rutherford,wi,bat,0
rovman powell,r powell,wi,bat,0
gudakesh motie,g motie,wi,bowl,0
brandon king,b king,wi,bat,0
shamar joseph,s joseph,wi,bowl,0
akeal hosein,a hosein,wi,bowl,0
jason holder,j holder,wi,alr,0
matthew forde,m forde,wi,bowl,0
roston chase,r chase,wi,alr,0
johnson charles,j charles,wi,bat,0
shimron hetmyer,s hetmyer,wi,bat,0
shai hope,s hope,wi,wk,0
jason smith,j smith,sa,bat,0
tristan stubbs,t stubbs,sa,wk,0
ryan rickelton,r rickelton,sa,bat,0
anrich nortje,a nortje,sa,bowl,0
corbin bosch,c bosch,sa,alr,0
george linde,g linde,sa,alr,0
lungi ngidi,l ngidi,sa,bowl,0
kwena maphaka,k maphaka,sa,bowl,0
kagiso rabada,k rabada,sa,bowl,0
keshav maharaj,k maharaj,sa,bowl,0
marco jansen,m jansen,sa,alr,0
david miller,d miller,sa,bat,0
dewald brevis,d brevis,sa,bat,0
quinton de kock,q de kock,sa,wk,0
aiden markram,a markram,sa,bat,0
ish sodhi,i sodhi,nz,bowl,0
tim seifert,t seifert,nz,wk,0
rachin ravindra,r ravindra,nz,alr,0
glenn phillips,g phillips,nz,bat,0
james neesham,j neesham,nz,alr,0
adam milne,a milne,nz,bowl,0
daryl mitchell,d mitchell,nz,alr,0
matt henry,m henry,nz,bowl,0
lockie ferguson,l ferguson,nz,bowl,0
jacob duffy,j duffy,nz,bowl,0
devon conway,d conway,nz,bat,0
mark chapman,m chapman,nz,bat,0
michael bracewell,m bracewell,nz,alr,0
finn allen,f allen,nz,bat,0
mitchell santner,m santner,nz,bowl,0
yuvraj samra,y samra,can,bat,0
jaskaran singh,j singh,can,bowl,0
ansh patel,a patel,can,bowl,0
ajayveer hundal,a hundal,can,alr,0
shreyas movva,s movva,can,wk,0
saad bin zafar,s bin zafar,can,bowl,0
ravinderpal singh,r singh,can,bat,0
nicholas kirton,n kirton,can,bat,0
navneet dhaliwal,n dhaliwal,can,bat,0
kanwarpal tathgur,k tathgur,can,wk,0
kaleem sana,k sana,can,bowl,0
harsh thaker,h thaker,can,alr,0
dilon heyliger,d heyliger,can,bowl,0
dilpreet bajwa,d bajwa,can,alr,0
shahidullah kamal,s kamal,afgh,alr,0
abdollah ahmadzai,a ahmadzai,afgh,bowl,0
ibrahim zadran,i zadran,afgh,bat,0
darwish rasooli,d rasooli,afgh,bat,0
mujeeb ur rahman,m ur rahman,afgh,bowl,0
azmatullah omarzai,a omarzai,afgh,alr,0
gulbadin naib,g naib,afgh,alr,0
mohammad nabi,m nabi,afgh,alr,0
mohammad ishaq,m ishaq,afgh,wk,0
rahmanullah gurbaz,r gurbaz,afgh,wk,0
fazalhaq farooqi,f farooqi,afgh,bowl,0
sediqullah atal,s atal,afgh,bat,0
noor ahmad,n ahmad,afgh,bowl,0
rashid khan,r khan,afgh,bowl,0
lokesh bam,l bam,nep,wk,0
sher malla,s malla,nep,bowl,0
gulsan jha,g jha,nep,alr,0
nandan yadav,n yadav,nep,bowl,0
basir ahamad,b ahamad,nep,alr,0
lalit rajbanshi,l rajbanshi,nep,bowl,0
karan kc,k kc,nep,alr,0
sompal kami,s kami,nep,bowl,0
aarif sheikh,a sheikh,nep,bat,0
sundeep jora,s jora,nep,bat,0
aasif sheikh,a sheikh,nep,wk,0
kushal bhurtel,k bhurtel,nep,bat,0
sandeep lamichhane,s lamichhane,nep,bowl,0
dipendra singh airee,d singh airee,nep,alr,0
rohit paudel,r paudel,nep,bat,0
