AkshayM,ColdTaker,Sriram,ds&ps,mahaarajanmg,neela,ntkesh,sk,sudarshan
harry brook,sanju samson,saim ayub,glenn maxwell,devon conway,matt henry,phil salt,james neesham,roston chase
nathan ellis,cameron green,adil rashid,romario shepherd,glenn phillips,kusal perera,jamie overton,sam curran,marco jansen
brendan taylor,tim seifert,jacob duffy,paul stirling,george linde,rashid khan,ibrahim zadran,mitchell santner,jason holder
rinku singh,abhishek sharma,tim david,josh inglis,axar patel,sikandar raza,salman agha,fazalhaq farooqi,sahibzada farhan
darwish rasooli,mohammad nabi,ryan rickelton,shimron hetmyer,keshav maharaj,sherfane rutherford,aiden markram,kamindu mendis,matheesha pathirana
abrar ahmed,fakhar zaman,shivam dube,will jacks,ben duckett,travis head,noor ahmad,ishan kishan,naseem shah
mohammad nawaz,mujeeb ur rahman,pathum nissanka,jos buttler,arshdeep singh,quinton de kock,hardik pandya,suryakumar yadav,jason smith
khawaja nafay,maheesh theekshana,xavier bartlett,mitchell marsh,shai hope,rovman powell,lockie ferguson,kagiso rabada,adam zampa
dushmantha chameera,lungi ngidi,tilak varma,shamar joseph,rahmanullah gurbaz,jofra archer,varun chakravarthy,jasprit bumrah,dewald brevis
shadab khan,wanindu hasaranga,cooper connolly,anrich nortje,eshan malinga,daryl mitchell,brandon king,dasun shanaka,david miller
finn allen,jacob bethell,kusal mendis,gudakesh motie,babar azam,salman mirza,sediqullah atal,tristan stubbs,shaheen shah afridi
