ColdTaker,day_0,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16
sanju samson,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
cameron green,0.0,0.0,0.0,0.0,0.0,93.0,93.0,109.0,109.0,109.0,110.0,110.0,110.0,110.0,142.0,142.0,142.0
tim seifert,0.0,0.0,172.0,172.0,406.0,406.0,406.0,406.0,431.0,431.0,431.0,436.0,436.0,436.0,436.0,436.0,436.0
abhishek sharma,0.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-20.0,-42.0,-42.0,-42.0,-66.0,-66.0,-66.0,-66.0,-25.0
mohammad nabi,0.0,0.0,30.0,30.0,30.0,39.0,39.0,39.0,39.0,39.0,42.0,42.0,42.0,247.0,247.0,247.0,247.0
fakhar zaman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mujeeb ur rahman,0.0,0.0,69.0,69.0,69.0,59.0,59.0,59.0,59.0,59.0,143.0,143.0,143.0,217.0,217.0,217.0,217.0
maheesh theekshana,0.0,0.0,124.0,124.0,124.0,124.0,243.0,243.0,243.0,243.0,286.0,286.0,286.0,263.0,263.0,263.0,369.0
lungi ngidi,0.0,0.0,0.0,147.0,147.0,268.0,268.0,268.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,298.0,365.0
wanindu hasaranga,0.0,0.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
jacob bethell,0.0,0.0,126.0,126.0,126.0,191.0,191.0,191.0,256.0,256.0,290.0,290.0,290.0,290.0,290.0,290.0,293.0
