Player,Team,Category,Base Price,Sold Price,Winner,Sold Time
Roston Chase,WI,All-Rounder,1,2.0,sudarshan,2026-02-07 03:22:01
Devon Conway,NZ,Batsman,1,1.0,mahaarajanmg,2026-02-07 03:23:53
Marco Jansen,SA,All-Rounder,1,22.0,sudarshan,2026-02-07 03:26:43
James Neesham,NZ,All-Rounder,1,2.5,sk,2026-02-07 03:27:46
Glenn Phillips,NZ,All-Rounder,1,22.0,mahaarajanmg,2026-02-07 03:31:26
George Linde,SA,All-Rounder,1,5.5,mahaarajanmg,2026-02-07 03:33:26
Harry Brook,ENG,Batsman,1,25.0,AkshayM,2026-02-07 03:36:16
Nathan Ellis,AUS,Bowler,1,20.0,AkshayM,2026-02-07 03:38:18
Sanju Samson,IND,Wicketkeeper,1,3.0,ColdTaker,2026-02-07 03:41:11
Phil Salt,ENG,Wicketkeeper,1,30.0,ntkesh,2026-02-07 03:44:24
Brendan Taylor,ZIM,Wicketkeeper,0.5,4.0,AkshayM,2026-02-07 03:45:24
Axar Patel,IND,All-Rounder,1,19.0,mahaarajanmg,2026-02-07 03:47:32
Saim Ayub,PAK,Batsman,1,10.0,Sriram,2026-02-07 03:50:14
Glenn Maxwell,AUS,All-Rounder,1,14.0,ds&ps,2026-02-07 03:57:25
Romario Shepherd,WI,All-Rounder,1,12.0,ds&ps,2026-02-07 03:58:35
Cameron Green,AUS,All-Rounder,1,20.0,ColdTaker,2026-02-07 03:59:48
Keshav Maharaj,SA,Bowler,1,8.5,mahaarajanmg,2026-02-07 04:01:14
Ben Duckett,ENG,Batsman,1,1.5,mahaarajanmg,2026-02-07 04:03:48
Tim Seifert,NZ,Wicketkeeper,1,20.0,ColdTaker,2026-02-07 04:06:33
Jason Holder,WI,All-Rounder,1,7.0,sudarshan,2026-02-07 04:10:11
Abhishek Sharma,IND,Batsman,1,32.0,ColdTaker,2026-02-07 04:12:17
Sam Curran,ENG,All-Rounder,1,10.0,sk,2026-02-07 04:13:43
Mitchell Santner,NZ,All-Rounder,1,17.0,sk,2026-02-07 04:15:20
Sahibzada Farhan,PAK,Wicketkeeper,1,2.5,sudarshan,2026-02-07 04:17:44
Paul Stirling,IRE,Batsman,0.5,2.0,ds&ps,2026-02-07 04:19:23
Matt Henry,NZ,Bowler,1,9.5,neela,2026-02-07 04:22:20
Matheesha Pathirana,SL,Bowler,1,10.0,sudarshan,2026-02-07 04:24:11
Jamie Overton,ENG,All-Rounder,1,7.0,ntkesh,2026-02-07 04:25:37
Rinku Singh,IND,Batsman,1,5.5,AkshayM,2026-02-07 04:27:50
Mohammad Nabi,AFG,All-Rounder,1,5.0,ColdTaker,2026-02-07 04:29:58
Darwish Rasooli,AFG,Batsman,1,5.5,AkshayM,2026-02-07 04:33:22
Kusal Perera,SL,Wicketkeeper,1,2.5,neela,2026-02-07 04:35:04
Abrar Ahmed,PAK,Bowler,1,18.0,AkshayM,2026-02-07 04:37:29
Naseem Shah,PAK,Bowler,1,5.5,sudarshan,2026-02-07 04:39:17
Fakhar Zaman,PAK,Batsman,1,3.0,ColdTaker,2026-02-07 04:40:31
