Manager,Player,Points
COLDTAKER,Tim Seifert,431.0
NTKESH,Aiden Markram,376.0
MAHAARAJANMG,Rahmanullah Gurbaz,341.0
NEELA,Sherfane Rutherford,306.0
SRIRAM,Ryan Rickelton,303.0
COLDTAKER,Lungi Ngidi,298.0
SUDARSHAN,Sahibzada Farhan,297.0
SUDARSHAN,Marco Jansen,294.0
SRIRAM,Kusal Mendis,287.0
AKSHAYM,Finn Allen,277.0
SK,Sam Curran,264.0
NEELA,Quinton De Kock,260.0
COLDTAKER,Jacob Bethell,256.0
SUDARSHAN,David Miller,254.0
COLDTAKER,Maheesh Theekshana,243.0
DS&PS,Romario Shepherd,238.0
SK,Kamindu Mendis,233.0
NTKESH,Hardik Pandya,233.0
SK,Ishan Kishan,226.0
AKSHAYM,Nathan Ellis,224.0
DS&PS,Shimron Hetmyer,223.0
SK,Suryakumar Yadav,221.0
MAHAARAJANMG,Axar Patel,203.0
SUDARSHAN,Jason Holder,203.0
AKSHAYM,Shadab Khan,200.0
SK,Tristan Stubbs,186.0
SUDARSHAN,Adam Zampa,179.0
SK,Dasun Shanaka,175.0
NTKESH,Varun Chakravarthy,169.0
DS&PS,Will Jacks,168.0
AKSHAYM,Harry Brook,166.0
MAHAARAJANMG,Glenn Phillips,165.0
DS&PS,Josh Inglis,160.0
NEELA,Daryl Mitchell,159.0
NEELA,Rashid Khan,152.0
DS&PS,Gudakesh Motie,151.0
SRIRAM,Adil Rashid,149.0
SK,Mitchell Santner,147.0
MAHAARAJANMG,Keshav Maharaj,146.0
NEELA,Sikandar Raza,143.0
SUDARSHAN,Roston Chase,142.0
NTKESH,Jamie Overton,141.0
SRIRAM,Tilak Varma,140.0
SRIRAM,Saim Ayub,140.0
NEELA,Rovman Powell,129.0
AKSHAYM,Mohammad Nawaz,128.0
DS&PS,Jos Buttler,127.0
NTKESH,Phil Salt,125.0
DS&PS,Shamar Joseph,120.0
NEELA,Salman Mirza,119.0
COLDTAKER,Wanindu Hasaranga,119.0
AKSHAYM,Dushmantha Chameera,118.0
NEELA,Jofra Archer,118.0
MAHAARAJANMG,Arshdeep Singh,117.0
MAHAARAJANMG,Babar Azam,116.0
NEELA,Matt Henry,115.0
SUDARSHAN,Shaheen Shah Afridi,111.0
COLDTAKER,Cameron Green,109.0
AKSHAYM,Abrar Ahmed,107.0
NTKESH,Lockie Ferguson,107.0
SK,Kagiso Rabada,105.0
SRIRAM,Shivam Dube,100.0
SK,James Neesham,99.0
SUDARSHAN,Matheesha Pathirana,96.0
SUDARSHAN,Dewald Brevis,92.0
AKSHAYM,Brendan Taylor,86.0
SK,Jasprit Bumrah,81.0
NTKESH,Brandon King,72.0
NTKESH,Salman Agha,68.0
SRIRAM,Pathum Nissanka,64.0
COLDTAKER,Sanju Samson,60.0
COLDTAKER,Mujeeb Ur Rahman,59.0
SRIRAM,Cooper Connolly,53.0
AKSHAYM,Darwish Rasooli,52.0
NTKESH,Ibrahim Zadran,45.0
DS&PS,Glenn Maxwell,43.0
NTKESH,Sediqullah Atal,40.0
COLDTAKER,Mohammad Nabi,39.0
DS&PS,Paul Stirling,35.0
NEELA,Travis Head,31.0
SK,Fazalhaq Farooqi,24.0
NTKESH,Noor Ahmad,20.0
MAHAARAJANMG,George Linde,19.0
SRIRAM,Xavier Bartlett,18.0
AKSHAYM,Rinku Singh,16.0
SRIRAM,Jacob Duffy,13.0
AKSHAYM,Khawaja Nafay,0.0
DS&PS,Anrich Nortje,0.0
NEELA,Kusal Perera,0.0
COLDTAKER,Fakhar Zaman,0.0
MAHAARAJANMG,Devon Conway,0.0
SUDARSHAN,Jason Smith,0.0
DS&PS,Mitchell Marsh,0.0
MAHAARAJANMG,Eshan Malinga,0.0
MAHAARAJANMG,Ben Duckett,0.0
SUDARSHAN,Naseem Shah,0.0
MAHAARAJANMG,Shai Hope,-1.0
COLDTAKER,Abhishek Sharma,-20.0
SRIRAM,Tim David,-21.0
